,0
Nodes,91
Links,94
Avg Path Length,3.659096459096459
Avg Degree,"{1: 32.71951219512195, 2: 24.7, 18: 1.1666666666666667, 37: 2.0135135135135136, 4: 1.5}"
Avg Degree Val,2.065934065934066
Avg Clustering Coeff,0.0
Network Diameter,8
Network Radius,4
Centralization,0.00436076817558299
