,0
Nodes,3221
Links,4900
Avg Path Length,3.5489364245894084
Avg Degree,"{1: 483.88689655172413, 2: 465.1136363636364, 4: 440.7025316455696, 3: 500.1490514905149, 41: 3.1951219512195124, 6: 435.9824561403509, 5: 433.2689655172414, 24: 2.375, 8: 382.1041666666667, 68: 2.25, 95: 2.463157894736842, 10: 379.05, 7: 439.9387755102041, 133: 2.2030075187969924, 113: 21.911504424778762, 124: 1.8306451612903225, 383: 3.0574412532637076, 29: 14.0, 245: 2.559183673469388, 603: 5.6202321724709785, 367: 4.62125340599455, 255: 6.376470588235295, 290: 7.058620689655172, 1062: 3.908662900188324, 222: 2.824324324324324, 339: 2.8908554572271385, 314: 8.805732484076433, 79: 2.8987341772151898}"
Avg Degree Val,3.0425333747283454
Avg Clustering Coeff,0.0977057291509672
Network Diameter,10
Network Radius,5
Centralization,0.00010216487938387088
