Interactor A Gene Symbol,Interactor B Gene Symbol,Interactor A Uniprot AC,Interactor B Uniprot AC,Database
CXCR2,HRH2,P25025,P25021,IID
CXCR2,CXCR1,P25025,P25024,IID
CXCR2,PTGIR,P25025,P43119,IID
CXCR2,P2RY8,P25025,Q86VZ1,IID
CXCR2,MMP1,P25025,P03956,IID
CXCR2,CCRL2,P25025,O00421,IID
CXCR2,P2RY6,P25025,Q15077,IID
CXCR2,CD86,P25025,P42081,IID
CXCR2,CTSG,P25025,P08311,IID
CXCR2,LPAR1,P25025,Q92633,IID
CXCR2,CCL18,P25025,P55774,IID
CXCR2,CXCR2,P25025,P25025,IID
CXCR2,CRHR1,P25025,P34998,IID
CXCR2,CCR1,P25025,P32246,IID
CXCR2,CYSLTR1,P25025,Q9Y271,IID
CXCR2,CD8A,P25025,P01732,IID
CXCR2,FPR1,P25025,P21462,IID
CXCR2,LTB4R,P25025,Q15722,IID
CXCR2,CD8B,P25025,P10966,IID
CXCR2,TREM2,P25025,Q9NZC2,IID
CXCR2,GNA14,P25025,O95837,IID
CXCR2,CCKBR,P25025,P32239,IID
CXCR2,PLEK,P25025,P08567,IID
CXCR2,CHRM2,P25025,P08172,IID
CXCR2,PRAM1,P25025,Q96QH2,IID
CXCR2,RXFP3,P25025,Q9NSD7,IID
CXCR2,S1PR4,P25025,O95977,IID
CXCR2,MAS1,P25025,P04201,IID
CXCR2,P2RY1,P25025,P47900,IID
CXCR2,STXBP2,P25025,Q15833,IID
CXCR2,CXCL6,P25025,P80162,IID
CXCR2,CXCL5,P25025,P42830,IID
CXCR2,NCF2,P25025,P19878,IID
CXCR2,MSN,P25025,P26038,IID
CXCR2,S1PR2,P25025,O95136,IID
CXCR2,RAB11FIP2,P25025,Q7L804,IID
CXCR2,IL4,P25025,P05112,IID
CXCR2,FCMR,P25025,O60667,IID
CXCR2,ADAM10,P25025,O14672,IID
CXCR2,PF4,P25025,P02776,IID
CXCR2,HRH1,P25025,P35367,IID
CXCR2,AVPR1A,P25025,P37288,IID
CXCR2,PICK1,P25025,Q9NRD5,IID
CXCR2,CMTM7,P25025,Q96FZ5,IID
CXCR2,CCL3L1,P25025,P16619,IID
CXCR2,HTR2A,P25025,P28223,IID
CXCR2,P2RY2,P25025,P41231,IID
CXCR2,CCKAR,P25025,P32238,IID
CXCR2,DRD1,P25025,P21728,IID
CXCR2,CXCL2,P25025,P19875,IID
CXCR2,LPAR2,P25025,Q9HBW0,IID
CXCR2,RELA,P25025,Q04206,IID
CXCR2,EDNRB,P25025,P24530,IID
CXCR2,GNA15,P25025,P30679,IID
CXCR2,GPR55,P25025,Q9Y2T6,IID
CXCR2,CNR2,P25025,P34972,IID
CXCR2,ACKR4,P25025,Q9NPB9,IID
CXCR2,CCR9,P25025,P51686,IID
CXCR2,MC5R,P25025,P33032,IID
CXCR2,AGTR1,P25025,P30556,IID
CXCR2,XCR1,P25025,P46094,IID
CXCR2,CCL13,P25025,Q99616,IID
CXCR2,ACKR2,P25025,O00590,IID
CXCR2,PTAFR,P25025,P25105,IID
CXCR2,FPR3,P25025,P25089,IID
CXCR2,SIGLEC1,P25025,Q9BZZ2,IID
CXCR2,SYK,P25025,P43405,IID
CXCR2,CXCR4,P25025,P61073,IID
CXCR2,MMP9,P25025,P14780,IID
CXCR2,C5AR2,P25025,Q9P296,IID
CXCR2,DRD5,P25025,P21918,IID
CXCR2,PPBP,P25025,P02775,IID
CXCR2,CD300C,P25025,Q08708,IID
CXCR2,SDC1,P25025,P18827,IID
CXCR2,CXCL1,P25025,P09341,IID
CXCR2,FPR2,P25025,P25090,IID
CXCR2,ITGA1,P25025,P56199,IID
CXCR2,TRAT1,P25025,Q6PIZ9,IID
CXCR2,CXCL8,P25025,P10145,IID
CXCR2,FCGR3B,P25025,O75015,IID
CXCR2,ADRA1A,P25025,P35348,IID
CXCR2,ACKR1,P25025,Q16570,IID
CXCR2,CD3E,P25025,P07766,IID
CXCR2,NCR2,P25025,O95944,IID
CXCR2,C3AR1,P25025,Q16581,IID
CXCR2,AVPR1B,P25025,P47901,IID
CXCR2,CMKLR1,P25025,Q99788,IID
CXCR2,MNDA,P25025,P41218,IID
CXCR2,TIGIT,P25025,Q495A1,IID
CXCR2,CCR3,P25025,P51677,IID
CXCR2,CXCL3,P25025,P19876,IID
CXCR2,DRD2,P25025,P14416,IID
CXCR2,CD48,P25025,P09326,IID
CXCR2,C3,P25025,P01024,IID
CXCR2,ITGAM,P25025,P11215,IID
NOD2,NFKB1,Q9HC29,P19838,IID
NOD2,OSMR,Q9HC29,Q99650,IID
CCR8,GPR35,P51685,Q9HC97,IID
BDKRB2,GPR35,P30411,Q9HC97,IID
SSTR5,GPR35,P35346,Q9HC97,IID
GPR3,GPR35,P46089,Q9HC97,IID
LPAR3,FOS,Q9UBY5,P01100,IID
LPAR3,NFKB1,Q9UBY5,P19838,IID
P2RY8,GPR35,Q86VZ1,Q9HC97,IID
MMP1,FOS,P03956,P01100,IID
P2RY6,GPR35,Q15077,Q9HC97,IID
CD86,IL2RA,P42081,P01589,IID
CD86,NFKB1,P42081,P19838,IID
CD86,OSMR,P42081,Q99650,IID
CD86,SH2B3,P42081,Q9UQQ2,IID
LPAR1,NFKB1,Q92633,P19838,IID
CCL18,FAP,P55774,Q12884,IID
CRHR1,GPR35,P34998,Q9HC97,IID
CD8B,OSMR,P10966,Q99650,IID
CCKBR,GPR35,P32239,Q9HC97,IID
PLEK,SH2B3,P08567,Q9UQQ2,IID
MAS1,GPR35,P04201,Q9HC97,IID
P2RY1,GPR35,P47900,Q9HC97,IID
CXCL5,FOS,P42830,P01100,IID
NCF2,SH2B3,P19878,Q9UQQ2,IID
S1PR2,GPR35,O95136,Q9HC97,IID
IL4,IL2RA,P05112,P01589,IID
IL4,OSMR,P05112,Q99650,IID
FCMR,NFKB1,O60667,P19838,IID
FCMR,OSMR,O60667,Q99650,IID
PF4,FOS,P02776,P01100,IID
PF4,NFKB1,P02776,P19838,IID
HTR2A,FOS,P28223,P01100,IID
RELA,FOS,Q04206,P01100,IID
RELA,NFKB1,Q04206,P19838,IID
RELA,OSMR,Q04206,Q99650,IID
RELA,PTPN2,Q04206,P17706,IID
RELA,RPS6KB1,Q04206,P23443,IID
RELA,TYK2,Q04206,P29597,IID
GPR55,GPR35,Q9Y2T6,Q9HC97,IID
CNR2,GPR35,P34972,Q9HC97,IID
ACKR4,GPR35,Q9NPB9,Q9HC97,IID
CCR9,GPR35,P51686,Q9HC97,IID
MC5R,GPR35,P33032,Q9HC97,IID
XCR1,GPR35,P46094,Q9HC97,IID
PTAFR,TYK2,P25105,P29597,IID
SIGLEC1,OSMR,Q9BZZ2,Q99650,IID
SYK,IL2RA,P43405,P01589,IID
SYK,PTPN2,P43405,P17706,IID
SYK,SH2B3,P43405,Q9UQQ2,IID
SYK,TYK2,P43405,P29597,IID
CXCR4,GPR35,P61073,Q9HC97,IID
CXCR4,NFKB1,P61073,P19838,IID
MMP9,FOS,P14780,P01100,IID
MMP9,NFKB1,P14780,P19838,IID
PPBP,FOS,P02775,P01100,IID
CXCL1,FOS,P09341,P01100,IID
CXCL1,NFKB1,P09341,P19838,IID
CXCL8,FOS,P10145,P01100,IID
CXCL8,NFKB1,P10145,P19838,IID
CXCL8,OSMR,P10145,Q99650,IID
ACKR1,FOS,Q16570,P01100,IID
CD3E,IL2RA,P07766,P01589,IID
CD3E,SH2B3,P07766,Q9UQQ2,IID
CD3E,TYK2,P07766,P29597,IID
C3AR1,NFKB1,Q16581,P19838,IID
TIGIT,IL2RA,Q495A1,P01589,IID
CCR3,GPR35,P51677,Q9HC97,IID
CD48,SH2B3,P09326,Q9UQQ2,IID
C3,IL2RA,P01024,P01589,IID
C3,KEAP1,P01024,Q14145,IID
C3,OSMR,P01024,Q99650,IID
ITGAM,NFKB1,P11215,P19838,IID
DNMT3B,ARID4B,Q9UBC3,Q4LE39,IID
DNMT3B,PLK1,Q9UBC3,P53350,IID
DNMT3B,PBRM1,Q9UBC3,Q86U86,IID
DNMT3B,HOXD3,Q9UBC3,P31249,IID
DNMT3B,CBX3,Q9UBC3,Q13185,IID
DNMT3B,NRCAM,Q9UBC3,Q92823,IID
DNMT3B,YY1,Q9UBC3,P25490,IID
DNMT3B,SMC4,Q9UBC3,Q9NTJ3,IID
DNMT3B,PAICS,Q9UBC3,P22234,IID
DNMT3B,DMAP1,Q9UBC3,Q9NPF5,IID
DNMT3B,EZH1,Q9UBC3,Q92800,IID
DNMT3B,SAP18,Q9UBC3,O00422,IID
DNMT3B,SMAD2,Q9UBC3,Q15796,IID
DNMT3B,TAL1,Q9UBC3,P17542,IID
DNMT3B,EED,Q9UBC3,O75530,IID
DNMT3B,BRD1,Q9UBC3,O95696,IID
DNMT3B,DNMT3A,Q9UBC3,Q9Y6K1,IID
DNMT3B,HIST2H2AB,Q9UBC3,Q8IUE6,IID
DNMT3B,AKAP8,Q9UBC3,O43823,IID
DNMT3B,VWC2,Q9UBC3,Q2TAL6,IID
DNMT3B,RERE,Q9UBC3,Q9P2R6,IID
DNMT3B,H3F3A,Q9UBC3,P84243,IID
DNMT3B,ZBTB17,Q9UBC3,Q13105,IID
DNMT3B,SMARCA5,Q9UBC3,O60264,IID
DNMT3B,SUMO1,Q9UBC3,P63165,IID
DNMT3B,DVL2,Q9UBC3,O14641,IID
DNMT3B,ROCK2,Q9UBC3,O75116,IID
DNMT3B,BAZ2A,Q9UBC3,Q9UIF9,IID
DNMT3B,TOP1,Q9UBC3,P11387,IID
DNMT3B,DSN1,Q9UBC3,Q9H410,IID
DNMT3B,MDM2,Q9UBC3,Q00987,IID
DNMT3B,MIS12,Q9UBC3,Q9H081,IID
DNMT3B,AR,Q9UBC3,P10275,IID
DNMT3B,EHMT2,Q9UBC3,Q96KQ7,IID
DNMT3B,NPHP1,Q9UBC3,O15259,IID
DNMT3B,GNMT,Q9UBC3,Q14749,IID
DNMT3B,PRDM5,Q9UBC3,Q9NQX1,IID
DNMT3B,RBBP7,Q9UBC3,Q16576,IID
DNMT3B,MTA3,Q9UBC3,Q9BTC8,IID
DNMT3B,ASH2L,Q9UBC3,Q9UBL3,IID
DNMT3B,KDM4C,Q9UBC3,Q9H3R0,IID
DNMT3B,SMAD4,Q9UBC3,Q13485,IID
DNMT3B,PIAS1,Q9UBC3,O75925,IID
DNMT3B,MEF2A,Q9UBC3,Q02078,IID
DNMT3B,PIAS2,Q9UBC3,O75928,IID
DNMT3B,NCK1,Q9UBC3,P16333,IID
DNMT3B,AGO4,Q9UBC3,Q9HCK5,IID
DNMT3B,SUMO2,Q9UBC3,P61956,IID
DNMT3B,RBBP4,Q9UBC3,Q09028,IID
DNMT3B,HDAC4,Q9UBC3,P56524,IID
DNMT3B,PRKN,Q9UBC3,O60260,IID
DNMT3B,NPM1,Q9UBC3,P06748,IID
DNMT3B,SETD7,Q9UBC3,Q8WTS6,IID
DNMT3B,SUV39H2,Q9UBC3,Q9H5I1,IID
DNMT3B,SIN3A,Q9UBC3,Q96ST3,IID
DNMT3B,MTF2,Q9UBC3,Q9Y483,IID
DNMT3B,KMT5B,Q9UBC3,Q4FZB7,IID
DNMT3B,CHAF1B,Q9UBC3,Q13112,IID
DNMT3B,UBE2C,Q9UBC3,O00762,IID
DNMT3B,DBNL,Q9UBC3,Q9UJU6,IID
DNMT3B,TP53,Q9UBC3,P04637,IID
DNMT3B,UHRF2,Q9UBC3,Q96PU4,IID
DNMT3B,AKAP1,Q9UBC3,Q92667,IID
DNMT3B,UBE2B,Q9UBC3,P63146,IID
DNMT3B,SREBF2,Q9UBC3,Q12772,IID
DNMT3B,SMAD7,Q9UBC3,O15105,IID
DNMT3B,POT1,Q9UBC3,Q9NUX5,IID
DNMT3B,CCL24,Q9UBC3,O00175,IID
DNMT3B,UHRF1,Q9UBC3,Q96T88,IID
DNMT3B,CHRAC1,Q9UBC3,Q9NRG0,IID
DNMT3B,RWDD3,Q9UBC3,Q9Y3V2,IID
DNMT3B,RASA1,Q9UBC3,P20936,IID
DNMT3B,SOX10,Q9UBC3,P56693,IID
DNMT3B,DNMT3L,Q9UBC3,Q9UJW3,IID
DNMT3B,SCMH1,Q9UBC3,Q96GD3,IID
DNMT3B,PACSIN1,Q9UBC3,Q9BY11,IID
DNMT3B,SP1,Q9UBC3,P08047,IID
DNMT3B,NDC1,Q9UBC3,Q9BTX1,IID
DNMT3B,RFWD3,Q9UBC3,Q6PCD5,IID
DNMT3B,PLEKHB1,Q9UBC3,Q9UF11,IID
DNMT3B,RAD51,Q9UBC3,Q06609,IID
DNMT3B,BCL11B,Q9UBC3,Q9C0K0,IID
DNMT3B,MAP3K1,Q9UBC3,Q13233,IID
DNMT3B,CHRD,Q9UBC3,Q9H2X0,IID
DNMT3B,HDAC1,Q9UBC3,Q13547,IID
DNMT3B,MIER1,Q9UBC3,Q8N108,IID
DNMT3B,CHAF1A,Q9UBC3,Q13111,IID
DNMT3B,ZNF274,Q9UBC3,Q96GC6,IID
DNMT3B,POLE3,Q9UBC3,Q9NRF9,IID
DNMT3B,ESR1,Q9UBC3,P03372,IID
DNMT3B,SH3PXD2B,Q9UBC3,A1X283,IID
DNMT3B,LIMA1,Q9UBC3,Q9UHB6,IID
DNMT3B,HIPK2,Q9UBC3,Q9H2X6,IID
DNMT3B,DAXX,Q9UBC3,Q9UER7,IID
DNMT3B,NSD2,Q9UBC3,O96028,IID
DNMT3B,MID1,Q9UBC3,O15344,IID
DNMT3B,PHF1,Q9UBC3,O43189,IID
DNMT3B,SETDB2,Q9UBC3,Q96T68,IID
DNMT3B,KMT2B,Q9UBC3,Q9UMN6,IID
DNMT3B,MAP3K11,Q9UBC3,Q16584,IID
DNMT3B,BRCA1,Q9UBC3,P38398,IID
DNMT3B,UBA2,Q9UBC3,Q9UBT2,IID
DNMT3B,NCAPH,Q9UBC3,Q15003,IID
DNMT3B,SND1,Q9UBC3,Q7KZF4,IID
DNMT3B,CEP72,Q9UBC3,Q9P209,IID
DNMT3B,DGCR8,Q9UBC3,Q8WYQ5,IID
DNMT3B,CXCL10,Q9UBC3,P02778,IID
DNMT3B,NSD1,Q9UBC3,Q96L73,IID
DNMT3B,SHH,Q9UBC3,Q15465,IID
DNMT3B,KMT2A,Q9UBC3,Q03164,IID
DNMT3B,MUM1,Q9UBC3,Q2TAK8,IID
DNMT3B,MKI67,Q9UBC3,P46013,IID
DNMT3B,XRCC4,Q9UBC3,Q13426,IID
DNMT3B,PRMT1,Q9UBC3,Q99873,IID
DNMT3B,SETDB1,Q9UBC3,Q15047,IID
DNMT3B,SMARCA4,Q9UBC3,P51532,IID
DNMT3B,MTA2,Q9UBC3,O94776,IID
DNMT3B,KMT2E,Q9UBC3,Q8IZD2,IID
DNMT3B,RANBP2,Q9UBC3,P49792,IID
DNMT3B,SETD2,Q9UBC3,Q9BYW2,IID
DNMT3B,ZBTB16,Q9UBC3,Q05516,IID
DNMT3B,SUV39H1,Q9UBC3,O43463,IID
DNMT3B,PRMT5,Q9UBC3,O14744,IID
DNMT3B,ATF7IP,Q9UBC3,Q6VMQ6,IID
DNMT3B,PACSIN3,Q9UBC3,Q9UKS6,IID
DNMT3B,MAPK8IP1,Q9UBC3,Q9UQF2,IID
DNMT3B,MYC,Q9UBC3,P01106,IID
DNMT3B,PIK3R1,Q9UBC3,P27986,IID
DNMT3B,CBX2,Q9UBC3,Q14781,IID
DNMT3B,BCOR,Q9UBC3,Q6W2J9,IID
DNMT3B,UBE2I,Q9UBC3,P63279,IID
DNMT3B,FTSJ3,Q9UBC3,Q8IY81,IID
DNMT3B,CENPA,Q9UBC3,P49450,IID
DNMT3B,BANP,Q9UBC3,Q8N9N5,IID
DNMT3B,RCOR1,Q9UBC3,Q9UKL0,IID
DNMT3B,MBD4,Q9UBC3,O95243,IID
DNMT3B,PCGF2,Q9UBC3,P35227,IID
DNMT3B,AURKA,Q9UBC3,O14965,IID
DNMT3B,HDGF,Q9UBC3,P51858,IID
DNMT3B,BAZ1B,Q9UBC3,Q9UIG0,IID
DNMT3B,NSD3,Q9UBC3,Q9BZ95,IID
DNMT3B,ING2,Q9UBC3,Q9H160,IID
DNMT3B,MSH6,Q9UBC3,P52701,IID
DNMT3B,BRPF1,Q9UBC3,P55201,IID
DNMT3B,DOT1L,Q9UBC3,Q8TEK3,IID
DNMT3B,PRDM1,Q9UBC3,O75626,IID
DNMT3B,CRX,Q9UBC3,O43186,IID
DNMT3B,PRMT2,Q9UBC3,P55345,IID
DNMT3B,RNF4,Q9UBC3,P78317,IID
DNMT3B,MAP3K9,Q9UBC3,P80192,IID
DNMT3B,MECP2,Q9UBC3,P51608,IID
DNMT3B,PML,Q9UBC3,P29590,IID
DNMT3B,MBD3,Q9UBC3,O95983,IID
DNMT3B,TRDMT1,Q9UBC3,O14717,IID
DNMT3B,BAZ1A,Q9UBC3,Q9NRL2,IID
DNMT3B,SMC2,Q9UBC3,O95347,IID
DNMT3B,INCENP,Q9UBC3,Q9NQS7,IID
DNMT3B,NHEJ1,Q9UBC3,Q9H9Q4,IID
DNMT3B,MITF,Q9UBC3,O75030,IID
DNMT3B,SGO1,Q9UBC3,Q5FBB7,IID
DNMT3B,KDM1A,Q9UBC3,O60341,IID
DNMT3B,STAT3,Q9UBC3,P40763,IID
DNMT3B,PIWIL2,Q9UBC3,Q8TC59,IID
DNMT3B,SKIL,Q9UBC3,P12757,IID
DNMT3B,DNMT1,Q9UBC3,P26358,IID
DNMT3B,E2F1,Q9UBC3,Q01094,IID
DNMT3B,BDNF,Q9UBC3,P23560,IID
DNMT3B,SIN3B,Q9UBC3,O75182,IID
DNMT3B,RECQL4,Q9UBC3,O94761,IID
DNMT3B,SAP30,Q9UBC3,O75446,IID
DNMT3B,RAD21,Q9UBC3,O60216,IID
DNMT3B,PIWIL4,Q9UBC3,Q7Z3Z4,IID
DNMT3B,NCAPD2,Q9UBC3,Q15021,IID
DNMT3B,MTA1,Q9UBC3,Q13330,IID
DNMT3B,XRCC6,Q9UBC3,P12956,IID
DNMT3B,SOCS3,Q9UBC3,O14543,IID
DNMT3B,STAC,Q9UBC3,Q99469,IID
DNMT3B,AGO3,Q9UBC3,Q9H9G7,IID
DNMT3B,KDM4B,Q9UBC3,O94953,IID
DNMT3B,ZBTB18,Q9UBC3,Q99592,IID
DNMT3B,KALRN,Q9UBC3,O60229,IID
DNMT3B,NME6,Q9UBC3,O75414,IID
DNMT3B,E2F6,Q9UBC3,O75461,IID
DNMT3B,CCL2,Q9UBC3,P13500,IID
DNMT3B,TRIM28,Q9UBC3,Q13263,IID
DNMT3B,HIF1A,Q9UBC3,Q16665,IID
DNMT3B,SORBS3,Q9UBC3,O60504,IID
DNMT3B,SMARCD1,Q9UBC3,Q96GM5,IID
DNMT3B,JUN,Q9UBC3,P05412,IID
DNMT3B,HELLS,Q9UBC3,Q9NRZ9,IID
DNMT3B,SETD1A,Q9UBC3,O15047,IID
DNMT3B,CENPE,Q9UBC3,Q02224,IID
DNMT3B,FYN,Q9UBC3,P06241,IID
DNMT3B,NCAPD3,Q9UBC3,P42695,IID
DNMT3B,SET,Q9UBC3,Q01105,IID
DNMT3B,NTHL1,Q9UBC3,P78549,IID
DNMT3B,HDAC3,Q9UBC3,O15379,IID
DNMT3B,DIRAS3,Q9UBC3,O95661,IID
DNMT3B,NCK2,Q9UBC3,O43639,IID
DNMT3B,RRP8,Q9UBC3,O43159,IID
DNMT3B,SETD1B,Q9UBC3,Q9UPS6,IID
DNMT3B,TCF3,Q9UBC3,P15923,IID
DNMT3B,MAP3K10,Q9UBC3,Q02779,IID
DNMT3B,ETV6,Q9UBC3,P41212,IID
DNMT3B,EMSY,Q9UBC3,Q7Z589,IID
DNMT3B,TOP2A,Q9UBC3,P11388,IID
DNMT3B,CBX8,Q9UBC3,Q9HC52,IID
DNMT3B,RB1,Q9UBC3,P06400,IID
DNMT3B,NEB,Q9UBC3,P20929,IID
DNMT3B,EPHB2,Q9UBC3,P29323,IID
DNMT3B,SUDS3,Q9UBC3,Q9H7L9,IID
DNMT3B,BIRC5,Q9UBC3,O15392,IID
DNMT3B,CENPH,Q9UBC3,Q9H3R5,IID
DNMT3B,ATF7IP2,Q9UBC3,Q5U623,IID
DNMT3B,HDAC2,Q9UBC3,Q92769,IID
DNMT3B,ZNF331,Q9UBC3,Q9NQX6,IID
DNMT3B,CBX4,Q9UBC3,O00257,IID
DNMT3B,CTNNB1,Q9UBC3,P35222,IID
DNMT3B,PSIP1,Q9UBC3,O75475,IID
DNMT3B,PCNA,Q9UBC3,P12004,IID
DNMT3B,HIST1H3A,Q9UBC3,P68431,IID
DNMT3B,TARBP2,Q9UBC3,Q15633,IID
DNMT3B,NCOR2,Q9UBC3,Q9Y618,IID
DNMT3B,SORBS1,Q9UBC3,Q9BX66,IID
