MOTIF ID,Frequency,Interval,z score,p - value
6,512,658.4+-32.2,-4.54,1
12,1177,1189.8+-28.9,-0.44,0.675
14,98,144.3+-14.0,-3.3,1
36,7797,7923.8+-41.1,-3.08,1
38,2038,1939.2+-36.7,2.69,0
46,148,120.0+-9.0,3.12,0.005
74,1519,1604.7+-31.8,-2.7,1
78,59,91.7+-8.7,-3.76,1
98,17,39.0+-6.2,-3.57,1
102,138,158.0+-11.0,-1.82,0.965
108,1135,1087.3+-18.1,2.63,0.005
110,226,215.7+-11.7,0.88,0.175
238,67,59.5+-3.8,1.95,0.035
