1	3	1
1	5	1
1	11	1
1	16	1
1	17	1
1	18	1
1	20	1
1	31	1
1	32	1
1	33	1
1	34	1
1	43	1
1	57	1
2	3	1
2	5	1
2	16	1
2	17	1
2	18	1
2	20	1
2	31	1
2	32	1
2	33	1
2	34	1
2	50	1
2	51	1
3	5	1
3	16	1
3	17	1
3	18	1
3	20	1
3	31	1
3	32	1
3	33	1
3	34	1
3	50	1
3	51	1
3	57	1
4	3	1
4	5	1
4	11	1
4	16	1
4	17	1
4	18	1
4	20	1
4	31	1
4	32	1
4	33	1
4	34	1
4	51	1
5	11	1
5	16	1
5	17	1
5	18	1
5	20	1
5	31	1
5	32	1
5	33	1
5	34	1
5	35	1
5	43	1
5	51	1
5	59	1
6	5	1
6	11	1
6	17	1
6	18	1
6	20	1
6	31	1
6	32	1
6	33	1
6	34	1
6	35	1
6	43	1
6	51	1
6	53	1
6	59	1
7	4	1
7	5	1
7	11	1
7	16	1
7	18	1
7	20	1
7	31	1
7	32	1
7	33	1
7	34	1
7	35	1
7	43	1
7	53	1
7	57	1
7	59	1
8	5	1
8	9	1
8	16	1
8	17	1
8	18	1
8	20	1
8	31	1
8	32	1
8	33	1
8	34	1
8	43	1
8	49	1
8	50	1
8	57	1
8	59	1
9	16	1
9	17	1
9	18	1
9	20	1
9	31	1
9	32	1
9	33	1
9	34	1
9	49	1
9	50	1
9	51	1
9	57	1
9	59	1
10	16	1
10	17	1
10	18	1
10	20	1
10	31	1
10	32	1
10	33	1
10	34	1
10	50	1
10	51	1
10	57	1
11	16	1
11	17	1
11	18	1
11	20	1
11	31	1
11	32	1
11	33	1
11	34	1
11	50	1
11	51	1
11	57	1
11	58	1
11	59	1
12	5	1
12	11	1
12	16	1
12	17	1
12	18	1
12	20	1
12	31	1
12	32	1
12	33	1
12	34	1
12	43	1
12	50	1
12	51	1
12	53	1
12	57	1
12	59	1
13	5	1
13	16	1
13	17	1
13	18	1
13	20	1
13	31	1
13	32	1
13	33	1
13	34	1
13	35	1
13	43	1
13	51	1
13	53	1
13	57	1
13	59	1
14	5	1
14	16	1
14	20	1
14	31	1
14	32	1
14	33	1
14	34	1
14	35	1
14	43	1
14	51	1
14	53	1
14	54	1
14	57	1
