MOTIF ID,Frequency,Interval,z score,p - value
6,492,632.8+-28.6,-4.92,1
12,799,825.6+-27.7,-0.96,0.855
14,50,72.8+-10.2,-2.24,0.99
36,8816,8911.8+-35.4,-2.7,0.995
38,1711,1645.8+-33.9,1.92,0.015
46,80,49.3+-5.0,6.16,0
74,1411,1523.8+-33.6,-3.36,1
78,32,78.4+-8.2,-5.69,1
98,14,18.6+-5.0,-0.94,0.845
102,96,120.7+-7.9,-3.13,1
108,1628,1552.3+-19.2,3.94,0
110,211,224.9+-11.2,-1.24,0.92
238,101,80.9+-4.0,5.06,0
