Gene A,Gene B
APBA2,NFKB1
COPS5,NFKB1
MAPK3,PTPN2
MAPK3,RPS6KB1
NFE2L2,KEAP1
TGFBR2,IL2RA
TGFBR2,OSMR
TGFBR2,SH2B3
ISG15,IFIH1
ISG15,TYK2
TIMP1,IL2RA
TIMP1,NFKB1
ASCC3,NFKB1
PTK2,PTPN2
PTK2,SH2B3
PTK2,TYK2
IRF2,NFKB1
TRIP6,NFKB1
TRIB3,NFKB1
TRIB3,RPS6KB1
TUBB,KEAP1
TUBB,NFKB1
THRB,NFKB1
ACTB,NFKB1
MAPK8,NFKB1
MAPK8,PTPN2
MAPK8,RPS6KB1
IRF1,IL27
IRF1,NFKB1
IRF1,PTPN2
IRF1,TYK2
MAPK9,IL2RA
MAPK9,RPS6KB1
PRKACA,NFKB1
PRKACA,RPS6KB1
NFATC2,IL2RA
NFATC2,NFKB1
TNF,NFKB1
TNF,OSMR
RPS6KA3,RPS6KB1
APP,NFKB1
APP,RPS6KB1
EEF1B2,IFIH1
CIITA,PTPN2
CDK2,NFKB1
RUNX1,NFKB1
HHEX,NFKB1
HHEX,SH2B3
STAT6,NFKB1
STAT6,OSMR
STAT6,PTPN2
STAT6,SH2B3
STAT6,TYK2
PRKAA2,RPS6KB1
ITCH,IL2RA
PPARA,NFKB1
DISC1,NFKB1
MEN1,NFKB1
MAPK14,RPS6KB1
TP53BP2,NFKB1
ARRB1,NFKB1
ARRB1,RPS6KB1
ARRB1,TYK2
GSK3A,PTPN2
GSK3A,RPS6KB1
DAB2,SH2B3
IER3,RPS6KB1
IL2RA,RBM17
IL2RA,DNAJA3
IL2RA,SCGB1A1
IL2RA,CBLC
IL2RA,LCK
IL2RA,KITLG
IL2RA,SFRP1
IL2RA,C4A
IL2RA,SOD1
IL2RA,IL6
IL2RA,CNTN2
IL2RA,THBS1
IL2RA,SOS1
IL2RA,CCL5
IL2RA,CBL
IL2RA,C1QA
IL2RA,ELANE
IL2RA,ICOSLG
IL2RA,SFRP5
IL2RA,C1QC
IL2RA,IL12B
IL2RA,ARF6
IL2RA,IL2RG
IL2RA,NMI
IL2RA,ATL2
IL2RA,C5
IL2RA,CD2
IL2RA,IL10
IL2RA,IL2RB
IL2RA,INS
IL2RA,CD80
IL2RA,IL13
IL2RA,KLK8
IL2RA,LEP
IL2RA,IL7R
IL2RA,NFAM1
IL2RA,CTLA4
IL2RA,C1QB
IL2RA,IL21
IL2RA,SHC1
IL2RA,CD74
IL2RA,IKZF1
IL2RA,PTPN2
IL2RA,CCNA1
IL2RA,CR2
IL2RA,ICOS
IL2RA,BNIP3L
IL2RA,PTPN11
IL2RA,CADM1
IL2RA,BTLA
IL2RA,EBI3
IL2RA,FRZB
IL2RA,STAP2
IL2RA,FKBP2
IL2RA,CD83
IL2RA,IL4R
IL2RA,SOCS1
IL2RA,IL20RB
IL2RA,IL15
IL2RA,VSIG4
IL2RA,PTK2B
IL2RA,SLC35B2
IL2RA,PTPRF
IL2RA,JAG2
IL2RA,TNFRSF1B
IL2RA,CBLB
IL2RA,FCER1A
IL2RA,ROBO1
IL2RA,CXCL12
IL2RA,MICB
IL2RA,PTPN6
IL2RA,SCRT1
IL2RA,CREBBP
IL2RA,JAK3
IL2RA,CISH
IL2RA,STAT5B
IL2RA,IL7
IL2RA,JAK1
IL2RA,SLC6A7
IL2RA,CD28
IL2RA,SMAD3
IL2RA,MAPK11
IL2RA,IL2
ARRB2,NFKB1
ARRB2,SH2B3
ARRB2,TYK2
SNW1,NFKB1
RUNX2,TYK2
UBR5,NFKB1
UBR5,RPS6KB1
PSEN1,NFKB1
SMARCA2,NFKB1
TYK2,PTPN2
TYK2,SOCS2
TYK2,BCL2L11
TYK2,PTPRJ
TYK2,PTK6
TYK2,PTPN6
TYK2,IFNGR2
TYK2,CD33
TYK2,OSMR
TYK2,IL2RG
TYK2,KIT
TYK2,PRKDC
TYK2,GRAP2
TYK2,ERBB2
TYK2,HCK
TYK2,IFNB1
TYK2,CRK
TYK2,PTPN11
TYK2,FRK
TYK2,IL13RA1
TYK2,TEC
TYK2,FGR
TYK2,ERBB4
TYK2,TYRO3
TYK2,ITK
TYK2,MAP3K3
TYK2,AP2M1
TYK2,YES1
TYK2,STAT1
TYK2,PTPRE
TYK2,SRMS
TYK2,XRCC5
TYK2,PTK2B
TYK2,INSR
TYK2,CRKL
TYK2,VAV2
TYK2,IL22RA1
TYK2,TNK2
TYK2,CXCL9
TYK2,SMAD9
TYK2,SHC1
TYK2,EPOR
TYK2,SOCS4
TYK2,MAPK7
TYK2,PRKCD
TYK2,LTK
TYK2,SH3BP2
TYK2,LILRB1
TYK2,STAT4
TYK2,IL6ST
TYK2,GRAP
TYK2,ZAP70
TYK2,CHUK
TYK2,EIF6
TYK2,SH2D3A
TYK2,EP300
TYK2,IL2RB
TYK2,IL10RA
TYK2,GRB10
TYK2,TESK1
TYK2,PIK3R2
TYK2,PTPRC
TYK2,ARHGDIB
TYK2,PLAU
TYK2,RACK1
TYK2,H2AFX
TYK2,SH2B1
TYK2,JAK3
TYK2,SOCS6
TYK2,TAP1
TYK2,IL4R
TYK2,PRKCA
TYK2,IL7R
TYK2,MPL
TYK2,IRS1
TYK2,IL12RB1
TYK2,CD40
TYK2,CBL
TYK2,IFNAR2
TYK2,IFNGR1
TYK2,FGFR4
TYK2,PLAUR
TYK2,IGFBP7
TYK2,HOXB7
TYK2,BMX
TYK2,STAT5B
TYK2,IFI6
TYK2,CSK
TYK2,FBXW11
TYK2,PLCG1
TYK2,SH2B2
TYK2,PRAG1
TYK2,IFNAR1
TYK2,TNFRSF1A
TYK2,CREBBP
TYK2,SOCS5
TYK2,SIRT6
TYK2,ABL2
TYK2,PDGFRA
TYK2,CHN2
TYK2,CHN1
TYK2,MAP3K5
TYK2,SIRPA
TYK2,CISH
TYK2,JAK1
TYK2,STAM2
TYK2,IRS4
TYK2,LEPR
TYK2,TESK2
TYK2,IL23R
TYK2,BLK
TYK2,PILRA
TYK2,TIE1
TYK2,IL5RA
TYK2,PTPN22
TYK2,MAPK1
TYK2,FLT3
TYK2,GRB2
TYK2,IL13RA2
TYK2,IRS2
TYK2,RAC1
TYK2,ROS1
TYK2,MAP3K2
TYK2,FANCD2
TYK2,MATK
TYK2,FCGR1A
TYK2,LCP2
TYK2,STAT5A
TYK2,EGFR
TYK2,LIFR
TYK2,GAB2
TYK2,CDC42
TYK2,CBLC
TYK2,PTPN12
TYK2,ITGB2
TYK2,STAM
TYK2,IL12RB2
TYK2,PTPN18
TYK2,STAT2
TYK2,IL9R
TYK2,IL6R
TYK2,FCGR2B
TYK2,KDR
TYK2,HNRNPK
TYK2,LAT
TYK2,SH2D1A
TYK2,ALK
TYK2,JAKMIP1
TYK2,MERTK
TYK2,SH2B3
TYK2,CBLB
TYK2,SH2D3C
TYK2,IL21R
TYK2,TRAF2
TYK2,IL15RA
TYK2,TERF2IP
TYK2,FER
TYK2,IFIT2
TYK2,ACTN4
TYK2,BBS9
TYK2,TXK
TYK2,IFNA5
TYK2,NTRK2
TYK2,LYN
TYK2,GHR
TYK2,PRKCQ
TYK2,TNK1
TYK2,IGF1R
TYK2,ELP2
TYK2,PIK3R3
TYK2,LRP1B
TYK2,IL10RB
TYK2,IKBKG
TYK2,CCR5
TYK2,INSRR
TYK2,IRF7
TYK2,LCK
TYK2,FLT1
TYK2,SOCS1
TYK2,NTRK1
TYK2,IRF8
TYK2,MCM5
TYK2,FRS2
TYK2,MAP3K7
TYK2,TP73
TYK2,VAV1
TYK2,BLNK
TYK2,TEK
TYK2,ITGA3
TYK2,BTK
TYK2,FGFR3
TYK2,RAF1
TYK2,IRF9
TYK2,SH2D2A
TYK2,BCR
TYK2,IL22RA2
TYK2,PTPN1
TYK2,CSF2RB
TYK2,IFNA2
TYK2,GRB7
TYK2,CSF3R
TYK2,FLT4
TYK2,OTUB1
ATF2,NFKB1
ATF2,RPS6KB1
NUP153,PTPN2
SPI1,NFKB1
SPI1,SH2B3
IFNAR2,PTPN2
BCL6,NFKB1
BCL6,OSMR
A2M,NFKB1
A2M,OSMR
A2M,SH2B3
LEF1,NFKB1
CYLD,IFIH1
CYLD,NFKB1
CYLD,PTPN2
HSP90AA1,NFKB1
HSP90AA1,PTPN2
HSP90AA1,RPS6KB1
CSNK2B,RPS6KB1
PRKDC,NFKB1
CHUK,NFKB1
CHUK,PTPN2
CHUK,RPS6KB1
RUVBL2,NFKB1
TLE1,OSMR
APC,NFKB1
TP73,NFKB1
TP73,OSMR
TP73,PTPN2
PPP2R2B,NFKB1
PPP2R2B,RPS6KB1
PRKCD,NFKB1
PRKCD,PTPN2
PRKCD,RPS6KB1
TBP,NFKB1
SMAD3,NFKB1
RARB,NFKB1
KLF1,SH2B3
MAFG,KEAP1
NCL,NFKB1
NCL,RAVER1
CDKN1A,NFKB1
IL2RG,OSMR
IL2RG,PTPN2
JAK1,OSMR
JAK1,PTPN2
JAK1,SH2B3
AXIN2,NFKB1
TLR9,NFKB1
RAF1,NFKB1
RAF1,RPS6KB1
NCOA2,NFKB1
NFKBIA,IL23R
NFKBIA,NFKB1
RPS6KA1,NFKB1
RPS6KA1,RPS6KB1
VDR,NFKB1
IRF9,NFKB1
IRF9,PTPN2
IKBKE,IFIH1
IKBKE,NFKB1
IKBKE,PTPN2
POU3F2,KEAP1
EGFR,NFKB1
EGFR,PTPN2
EGFR,RPS6KB1
EGFR,SH2B3
ELAVL1,NFKB1
ELAVL1,PTPN2
MAPK1,NFKB1
MAPK1,PTPN2
MAPK1,RPS6KB1
MAPK13,NFKB1
MAPK13,RPS6KB1
NFKB1,NONO
NFKB1,MAPK12
NFKB1,NFKBIB
NFKB1,MYL6
NFKB1,BIRC3
NFKB1,RPS27L
NFKB1,ATF3
NFKB1,TLR7
NFKB1,CSF3R
NFKB1,LARS
NFKB1,SMARCD2
NFKB1,BACE2
NFKB1,USP11
NFKB1,DNAJA1
NFKB1,FN1
NFKB1,HCFC1
NFKB1,IL1RAP
NFKB1,RAC3
NFKB1,UACA
NFKB1,SLC25A6
NFKB1,IL12B
NFKB1,PPP1R13L
NFKB1,FST
NFKB1,ELF3
NFKB1,RORB
NFKB1,SPAG9
NFKB1,KPNA6
NFKB1,CD40
NFKB1,CTBP1
NFKB1,RARS
NFKB1,CCL3
NFKB1,TAB3
NFKB1,EOMES
NFKB1,RPLP0
NFKB1,NPC2
NFKB1,DDX5
NFKB1,MEFV
NFKB1,RAC1
NFKB1,CTNND1
NFKB1,ANKRD23
NFKB1,CUL1
NFKB1,ARF6
NFKB1,SORL1
NFKB1,COPB1
NFKB1,NFAT5
NFKB1,APOE
NFKB1,TLR5
NFKB1,TRAF2
NFKB1,KPNA3
NFKB1,CDK5RAP3
NFKB1,CDC37
NFKB1,EFTUD2
NFKB1,ACTG1
NFKB1,UXT
NFKB1,DNAJA3
NFKB1,PSMD11
NFKB1,DDX17
NFKB1,NGFR
NFKB1,SEC16A
NFKB1,RPS24
NFKB1,FOXO3
NFKB1,POU2F1
NFKB1,SPART
NFKB1,RIPK1
NFKB1,RPS11
NFKB1,RPL30
NFKB1,FRAT2
NFKB1,TBK1
NFKB1,AKAP8L
NFKB1,HLA-DOA
NFKB1,MAP3K3
NFKB1,DNAJB1
NFKB1,VSIG4
NFKB1,RBBP5
NFKB1,STRN3
NFKB1,KPNB1
NFKB1,NOS2
NFKB1,STAT5A
NFKB1,YWHAZ
NFKB1,SELE
NFKB1,CCS
NFKB1,NFKBIZ
NFKB1,ANKRD20A1
NFKB1,PAX5
NFKB1,PLA2G10
NFKB1,GRB2
NFKB1,RPL6
NFKB1,HLX
NFKB1,MET
NFKB1,PLD3
NFKB1,CRP
NFKB1,FEM1B
NFKB1,HADHB
NFKB1,CCND1
NFKB1,MALT1
NFKB1,ETHE1
NFKB1,TLR10
NFKB1,AKT2
NFKB1,PDCD11
NFKB1,TUBA4A
NFKB1,PIK3CA
NFKB1,ANKRD12
NFKB1,RPS20
NFKB1,PRKCA
NFKB1,CASP3
NFKB1,CCT8
NFKB1,TEK
NFKB1,RAB17
NFKB1,ZNF423
NFKB1,NQO2
NFKB1,APOC1
NFKB1,STAT5B
NFKB1,CCL22
NFKB1,KPNA1
NFKB1,CSNK1A1
NFKB1,RAB13
NFKB1,TAB2
NFKB1,HSP90AB1
NFKB1,LCN2
NFKB1,XRCC5
NFKB1,SKP2
NFKB1,IRS4
NFKB1,USH1G
NFKB1,YWHAE
NFKB1,HNRNPC
NFKB1,IL1B
NFKB1,RGS4
NFKB1,SFN
NFKB1,CSNK1D
NFKB1,APH1B
NFKB1,RECQL
NFKB1,CYBB
NFKB1,HSPH1
NFKB1,AKT1
NFKB1,MRGBP
NFKB1,NCF1
NFKB1,NRIP1
NFKB1,RIPK3
NFKB1,KPNA2
NFKB1,PFKL
NFKB1,APCS
NFKB1,FGF23
NFKB1,HSPA14
NFKB1,VAV1
NFKB1,PTGES3
NFKB1,CD3EAP
NFKB1,DDX3X
NFKB1,GIMAP5
NFKB1,ITGB2
NFKB1,IRAK2
NFKB1,LIPG
NFKB1,NOD1
NFKB1,SFPQ
NFKB1,EP400
NFKB1,PHLPP1
NFKB1,RUVBL1
NFKB1,FITM2
NFKB1,ANKRD42
NFKB1,RRAS
NFKB1,CXCR3
NFKB1,IL1R1
NFKB1,TUBA8
NFKB1,DVL3
NFKB1,NLRP3
NFKB1,RPS3A
NFKB1,NOLC1
NFKB1,SNAI1
NFKB1,ACTR8
NFKB1,TXN
NFKB1,IL10RA
NFKB1,IRF8
NFKB1,KPNA4
NFKB1,RPS10
NFKB1,TAB1
NFKB1,SIL1
NFKB1,PELP1
NFKB1,TNFAIP3
NFKB1,UNC5CL
NFKB1,CFTR
NFKB1,RPS13
NFKB1,TLR2
NFKB1,MCM7
NFKB1,UBE2D1
NFKB1,CAP1
NFKB1,SF3A1
NFKB1,TNFAIP2
NFKB1,HDAC5
NFKB1,JUP
NFKB1,TRAF1
NFKB1,VCAM1
NFKB1,INPPL1
NFKB1,IL9
NFKB1,PIAS3
NFKB1,HSPA9
NFKB1,TAF4B
NFKB1,GABPB1
NFKB1,TUBA4B
NFKB1,MRE11
NFKB1,DSCAM
NFKB1,MAML1
NFKB1,TUBB4A
NFKB1,RBPJ
NFKB1,AFF1
NFKB1,KSR2
NFKB1,MST1R
NFKB1,TERT
NFKB1,CARD6
NFKB1,GTF2B
NFKB1,HMGA2
NFKB1,ASB6
NFKB1,NR2E3
NFKB1,SMARCC2
NFKB1,TLR3
NFKB1,UTP20
NFKB1,BTBD11
NFKB1,CSNK2A2
NFKB1,PARP2
NFKB1,FOXO1
NFKB1,CUEDC2
NFKB1,ZER1
NFKB1,CD84
NFKB1,YBX1
NFKB1,HNRNPA1
NFKB1,CDC34
NFKB1,SQSTM1
NFKB1,S100A9
NFKB1,LY96
NFKB1,DDX21
NFKB1,PRKCQ
NFKB1,TP63
NFKB1,SOCS1
NFKB1,NOS3
NFKB1,DAPK1
NFKB1,BAG2
NFKB1,PAG1
NFKB1,TXLNA
NFKB1,PARP1
NFKB1,CNTN2
NFKB1,FLNC
NFKB1,RARA
NFKB1,POLR2A
NFKB1,TUBB8
NFKB1,REL
NFKB1,HNRNPH1
NFKB1,RPL7
NFKB1,IL6
NFKB1,MUC1
NFKB1,CASP4
NFKB1,HDAC10
NFKB1,HSPA8
NFKB1,MTIF2
NFKB1,H2AFX
NFKB1,PLXNA3
NFKB1,PPP2CA
NFKB1,DHX9
NFKB1,INSR
NFKB1,TRPC4AP
NFKB1,ESRRA
NFKB1,ATF4
NFKB1,FCGR2A
NFKB1,GCN1
NFKB1,ICAM1
NFKB1,NCSTN
NFKB1,IFI35
NFKB1,ACTL6A
NFKB1,NEDD4
NFKB1,PPM1B
NFKB1,TUBB3
NFKB1,CD1D
NFKB1,BARD1
NFKB1,ARID1B
NFKB1,IL10RB
NFKB1,HSPB1
NFKB1,NMI
NFKB1,TUBAL3
NFKB1,RFXANK
NFKB1,ANKRD20A3
NFKB1,TRAF3IP1
NFKB1,BMP4
NFKB1,IFNB1
NFKB1,MED23
NFKB1,TUBB6
NFKB1,BFAR
NFKB1,AGER
NFKB1,BIRC2
NFKB1,MATR3
NFKB1,CIDEA
NFKB1,CD163
NFKB1,TUBA1B
NFKB1,TUBB2A
NFKB1,HSPA2
NFKB1,MAP3K14
NFKB1,RPL18
NFKB1,COMMD1
NFKB1,ADAM9
NFKB1,SEMA4D
NFKB1,PRF1
NFKB1,STAP2
NFKB1,STK11
NFKB1,RPS19
NFKB1,G3BP2
NFKB1,GTF3C1
NFKB1,DEDD
NFKB1,PLA2G2A
NFKB1,IRS2
NFKB1,ANKHD1
NFKB1,IARS
NFKB1,ANXA4
NFKB1,FADD
NFKB1,MYL12A
NFKB1,TUBA1C
NFKB1,NFATC1
NFKB1,TNFRSF1A
NFKB1,PLA2G4A
NFKB1,VARS
NFKB1,TAP1
NFKB1,EEF1A2
NFKB1,LGALS3BP
NFKB1,NR5A1
NFKB1,ELP1
NFKB1,RPLP2
NFKB1,RPS4X
NFKB1,HERPUD1
NFKB1,NECTIN2
NFKB1,PKN1
NFKB1,PDCD4
NFKB1,DAP3
NFKB1,IKZF1
NFKB1,CASP5
NFKB1,LILRB2
NFKB1,SP3
NFKB1,USP18
NFKB1,KCNN4
NFKB1,LPL
NFKB1,RPS16
NFKB1,CASP7
NFKB1,RPL7A
NFKB1,TNIP2
NFKB1,IL18RAP
NFKB1,HADHA
NFKB1,TRIM33
NFKB1,ANKS4B
NFKB1,LYL1
NFKB1,JAG1
NFKB1,BCL2
NFKB1,FBXW2
NFKB1,TUBA3E
NFKB1,KLF10
NFKB1,PSME1
NFKB1,EHD1
NFKB1,CEBPG
NFKB1,RUNX1T1
NFKB1,ANKRD20A4
NFKB1,IKBKG
NFKB1,LRPPRC
NFKB1,AES
NFKB1,IRAK4
NFKB1,TLR4
NFKB1,RPS8
NFKB1,TLR1
NFKB1,SIRT1
NFKB1,ELF1
NFKB1,ING4
NFKB1,CLTC
NFKB1,ANKRD20A2
NFKB1,TSC1
NFKB1,NCOA1
NFKB1,ANKEF1
NFKB1,ITGAL
NFKB1,CCL19
NFKB1,VCP
NFKB1,PHB
NFKB1,IRAK1
NFKB1,EBF1
NFKB1,LCK
NFKB1,F11R
NFKB1,RACK1
NFKB1,TIMM50
NFKB1,TANK
NFKB1,FBXW11
NFKB1,IL12A
NFKB1,C1QBP
NFKB1,IRF5
NFKB1,FAS
NFKB1,NOTCH1
NFKB1,HSPA6
NFKB1,CCAR1
NFKB1,FNDC3B
NFKB1,CRADD
NFKB1,LIF
NFKB1,DHX30
NFKB1,EBF2
NFKB1,TNFRSF10A
NFKB1,IHH
NFKB1,CD276
NFKB1,FANCD2
NFKB1,NR1H3
NFKB1,CEBPB
NFKB1,IRAK1BP1
NFKB1,YEATS4
NFKB1,TNIP1
NFKB1,HSPA5
NFKB1,INHBA
NFKB1,ING3
NFKB1,IQGAP2
NFKB1,PLXNB3
NFKB1,USP7
NFKB1,HIST1H2BB
NFKB1,RBM15
NFKB1,PIK3R2
NFKB1,PDGFA
NFKB1,EP300
NFKB1,RPL11
NFKB1,TNFSF10
NFKB1,TRADD
NFKB1,SYTL4
NFKB1,DDX1
NFKB1,DSP
NFKB1,TNC
NFKB1,STAT4
NFKB1,RPS5
NFKB1,CREBBP
NFKB1,MYH14
NFKB1,LDLRAP1
NFKB1,NR4A1
NFKB1,DOK1
NFKB1,AUP1
NFKB1,NR1H2
NFKB1,RAB27A
NFKB1,GM2A
NFKB1,NOTCH2
NFKB1,HSPA4
NFKB1,IL18R1
NFKB1,MSR1
NFKB1,SLC25A5
NFKB1,MTOR
NFKB1,IRF3
NFKB1,EBF3
NFKB1,EPRS
NFKB1,SMARCE1
NFKB1,DDB1
NFKB1,HSPA1L
NFKB1,MCL1
NFKB1,ITGB3BP
NFKB1,MYH9
NFKB1,BCL7A
NFKB1,OSMR
NFKB1,KDM2A
NFKB1,COPA
NFKB1,HSD17B4
NFKB1,CD74
NFKB1,GABPB2
NFKB1,IL10
NFKB1,SRF
NFKB1,TUBB4B
NFKB1,WEE1
NFKB1,NLRP2
NFKB1,PABPC1
NFKB1,ESR2
NFKB1,FOXP4
NFKB1,INS
NFKB1,IL23A
NFKB1,BCL10
NFKB1,MAPT
NFKB1,TLR8
NFKB1,CDKN1B
NFKB1,CEBPD
NFKB1,MAP3K7
NFKB1,YWHAG
NFKB1,SEC14L2
NFKB1,IFNG
NFKB1,CSNK2A1
NFKB1,LRP1
NFKB1,IRAK3
NFKB1,THBS1
NFKB1,MYO1D
NFKB1,RPS14
NFKB1,IRF4
NFKB1,RPS15A
NFKB1,MAP3K8
NFKB1,CCT4
NFKB1,NR3C1
NFKB1,MAPK11
NFKB1,BCL3
NFKB1,BOC
NFKB1,NLRC5
NFKB1,UBE2D2
NFKB1,ITGAV
NFKB1,NFKB1
NFKB1,TUBA1A
NFKB1,HOXC13
NFKB1,HCAR2
NFKB1,PIDD1
NFKB1,MAP3K13
NFKB1,CRLF3
NFKB1,AIFM1
NFKB1,HYOU1
NFKB1,HDAC6
NFKB1,HNRNPD
NFKB1,USP9X
NFKB1,DHH
NFKB1,PTPRF
NFKB1,VKORC1
NFKB1,NR3C2
NFKB1,GMEB2
NFKB1,CASP9
NFKB1,PRPF8
NFKB1,CDK9
NFKB1,GZMB
NFKB1,FASN
NFKB1,POU2F2
NFKB1,PDGFB
NFKB1,NR5A2
NFKB1,XIAP
NFKB1,PLXND1
NFKB1,ITGB3
NFKB1,TRIM21
NFKB1,IGFBP7
NFKB1,PRKCI
NFKB1,CSF1
NFKB1,ANKRD1
NFKB1,CARD10
NFKB1,MARS
NFKB1,GIT2
NFKB1,PKHD1L1
NFKB1,IL2RB
NFKB1,RPS27
NFKB1,ZNF276
NFKB1,IRS1
NFKB1,ROBO1
NFKB1,IQGAP1
NFKB1,CFLAR
NFKB1,SOD1
NFKB1,RASD1
NFKB1,TUBA3C
NFKB1,CCL5
NFKB1,TLR6
NFKB1,IRF7
NFKB1,VPS72
NFKB1,TRAF6
NFKB1,PLXNB2
NFKB1,RAG2
NFKB1,CAMTA2
NFKB1,RBP4
NFKB1,MYD88
NFKB1,TUBB2B
NFKB1,FANCA
NFKB1,RPS2
NFKB1,HMOX1
NFKB1,PHB2
NFKB1,STAT1
NFKB1,KCTD12
NFKB1,MYH10
NFKB1,GSK3B
NFKB1,TGM2
NFKB1,RAB23
NFKB1,ANKRD44
NFKB1,ILK
NFKB1,RIPK2
NFKB1,NELFB
NFKB1,TNFRSF1B
NFKB1,RPL23
NFKB1,SCAP
NFKB1,SIRT6
NFKB1,HSPBP1
NFKB1,GTF2I
NFKB1,RNF25
NFKB1,CPSF6
NFKB1,FOXP2
NFKB1,PSME2
NFKB1,PRKAA1
NFKB1,PRMT6
NFKB1,ILF2
NFKB1,RPL13
NFKB1,CCAR2
NFKB1,ZNF239
NFKB1,TNFRSF4
NFKB1,RPS18
NFKB1,DPF2
NFKB1,CDON
NFKB1,IFI16
NFKB1,RPS3
NFKB1,TUBB1
NFKB1,MXD3
NFKB1,PPARG
NFKB1,CASP8
NFKB1,HNRNPM
NFKB1,FBXW7
NFKB1,ING1
NFKB1,RHOQ
NFKB1,DFFB
NFKB1,AXIN1
NFKB1,IL6R
NFKB1,RPA2
NFKB1,COPB2
NFKB1,SMARCC1
NFKB1,PRKCE
NFKB1,PPP4C
NFKB1,GFI1
NFKB1,KPNA5
NFKB1,EIF2AK2
NFKB1,NFATC4
NFKB1,MAVS
TSC2,RPS6KB1
TGFBR1,RPS6KB1
TGFBR1,SH2B3
IRF3,IFIH1
HSPA8,PTPN2
AXIN1,RPS6KB1
NEK2,RPS6KB1
NR3C1,PTPN2
NR3C1,RPS6KB1
ERBB2,OSMR
ERBB2,PTPN2
ERBB2,SH2B3
IL18,IL27
IL18,OSMR
CSNK2A2,RPS6KB1
CDH1,PTPN2
CDH1,RAVER1
HSPA4,PTPN2
PTPN1,PTPN2
PTPN1,SH2B3
IL2RB,PTPN2
IL2RB,SH2B3
IQGAP1,SH2B3
PTPN13,PTPN2
RARA,KEAP1
REL,IL27
IRF7,PTPN2
CSNK2A1,RPS6KB1
LCK,PTPN2
LCK,RPS6KB1
LCK,SH2B3
ILK,RPS6KB1
ILK,SH2B3
IFNB1,IL27
IL6,OSMR
STAT2,IL27
STAT2,PTPN2
EEF2K,RPS6KB1
KAT6A,SH2B3
EP300,PTPN2
STAT5A,IL27
STAT5A,OSMR
STAT5A,PTPN2
STAT5A,SH2B3
CREBBP,PTPN2
PDPK1,RPS6KB1
IL2,IL27
IL2,OSMR
GBP1,PTPN2
MAPK12,RPS6KB1
IFNGR1,PTPN2
STAT1,IFIH1
STAT1,OSMR
STAT1,PTPN2
STAT1,RPS6KB1
STAT1,SH2B3
PTEN,PTPN2
PTEN,RPS6KB1
BCL2,RPS6KB1
STAT5B,OSMR
STAT5B,PTPN2
STAT5B,SH2B3
CYR61,SH2B3
GSK3B,RPS6KB1
FUT2,POLR3E
GPR35,CMTM3
GPR35,ABHD14A
GPR35,OR2V2
GPR35,OR5B3
GPR35,OR2L2
GPR35,TRHR
GPR35,OR6C70
GPR35,OR6B2
GPR35,SLC45A4
GPR35,OR11G2
GPR35,GHITM
GPR35,OR6N2
GPR35,OR6C68
GPR35,KDELR1
GPR35,S1PR1
GPR35,OR5P3
GPR35,OR10Z1
GPR35,OR11H4
GPR35,OR7E24
GPR35,OR4F3
GPR35,OR2M3
GPR35,OR1J1
GPR35,VTI1B
GPR35,BNIP1
GPR35,PPP1R3F
GPR35,SYT11
GPR35,OR14I1
GPR35,OR6C4
GPR35,OR13C8
GPR35,OR1L8
GPR35,GJC2
GPR35,NPC1
GPR35,VN1R1
GPR35,SYNGR2
GPR35,OR5F1
GPR35,OR51B4
GPR35,KCNJ4
GPR35,OR4N5
GPR35,OR4C16
GPR35,OR4M2
GPR35,OR5H2
GPR35,OR4L1
GPR35,OR10G3
GPR35,OR9Q1
GPR35,PDE6G
GPR35,FFAR1
GPR35,ACKR3
GPR35,OR10Q1
GPR35,APH1A
GPR35,OR3A1
GPR35,OR14A16
GPR35,OR10V1
GPR35,OR5AP2
GPR35,OR2T3
GPR35,SPART
GPR35,OR6X1
GPR35,SCARB1
GPR35,GPR35
GPR35,TSPAN7
GPR35,AIG1
GPR35,TAS2R10
GPR35,OR4P4
GPR35,YIF1B
GPR35,MRGPRD
GPR35,OR51E2
GPR35,TAS2R8
GPR35,OR56A1
GPR35,OR1S1
GPR35,OR4K14
GPR35,LSS
GPR35,OR8G1
GPR35,OR6Y1
GPR35,OXGR1
GPR35,THOP1
GPR35,OR5K3
GPR35,PTGER1
GPR35,GPR52
GPR35,GPR137B
GPR35,ADCYAP1R1
GPR35,ADRA2C
GPR35,OR13F1
GPR35,OR52I2
GPR35,OSTC
GPR35,OR4F6
GPR35,AUP1
GPR35,NSDHL
GPR35,OR8U9
GPR35,OR51D1
GPR35,OR4N2
GPR35,ATP2C1
GPR35,OR5A2
GPR35,OR51L1
GPR35,SLC15A4
GPR35,OR10H1
GPR35,OR10P1
GPR35,SLC31A2
GPR35,GPR4
GPR35,RTN4
GPR35,OPN5
GPR35,OR4S1
GPR35,B4GALT2
GPR35,TMEM94
GPR35,OR9G4
GPR35,TAAR6
GPR35,ADGRF5
GPR35,OR5AS1
GPR35,OR2AT4
GPR35,CALCRL
GPR35,CH25H
GPR35,OXER1
GPR35,PLXDC1
GPR35,GPR150
GPR35,GNRHR
GPR35,ZFAND1
GPR35,OPN1SW
GPR35,OR7A10
GPR35,CRHR2
GPR35,TBXA2R
GPR35,CD81
GPR35,P2RY10
GPR35,OR5T3
GPR35,OR5B2
GPR35,FLRT1
GPR35,TMEM161A
