,MOTIF ID,Frequency,Interval,z score,p - value,lowerLimit,upperLimit,Statistical Significance
71,2524,1292,1005.2+-113.6,2.53,0.0,891.6,1118.8,['MOTIF']
72,2526,186,142.6+-24.5,1.77,0.045,118.1,167.1,['MOTIF']
73,3038,62,40.9+-11.5,1.84,0.05,29.4,52.4,['MOTIF']
74,4370,10615,11452.6+-523.0,-1.6,0.94,10929.6,11975.6,['ANTI-MOTIF']
75,4374,369,706.3+-78.2,-4.31,1.0,628.0999999999999,784.5,['ANTI-MOTIF']
76,4382,5,15.7+-5.9,-1.83,0.995,9.799999999999999,21.6,['ANTI-MOTIF']
77,4418,325,680.9+-113.5,-3.14,1.0,567.4,794.4,['ANTI-MOTIF']
78,4420,4342,4516.6+-228.6,-0.76,0.76,4288.0,4745.200000000001,['NA']
79,4422,643,577.8+-73.9,0.88,0.195,503.9,651.6999999999999,['NA']
80,4424,1071,798.8+-68.2,3.99,0.0,730.5999999999999,867.0,['MOTIF']
81,4426,12,49.3+-12.0,-3.11,1.0,37.3,61.3,['ANTI-MOTIF']
82,4428,607,805.4+-80.9,-2.45,1.0,724.5,886.3,['ANTI-MOTIF']
83,4430,17,47.5+-11.5,-2.64,0.995,36.0,59.0,['ANTI-MOTIF']
84,4434,840,1237.3+-139.3,-2.85,1.0,1098.0,1376.6,['ANTI-MOTIF']
85,4436,16450,18038.5+-352.9,-4.5,1.0,17685.6,18391.4,['ANTI-MOTIF']
86,4438,1156,887.6+-88.1,3.05,0.0,799.5,975.7,['MOTIF']
87,4440,2060,1635.5+-114.9,3.69,0.0,1520.6,1750.4,['MOTIF']
88,4442,52,73.4+-16.4,-1.3,0.945,57.00000000000001,89.80000000000001,['ANTI-MOTIF']
89,4444,742,1137.6+-128.7,-3.07,1.0,1008.8999999999999,1266.3,['ANTI-MOTIF']
90,4446,44,63.5+-12.0,-1.62,0.98,51.5,75.5,['ANTI-MOTIF']
91,4546,1,20.4+-7.5,-2.59,1.0,12.899999999999999,27.9,['ANTI-MOTIF']
92,4548,527,594.7+-52.6,-1.29,0.91,542.1,647.3000000000001,['ANTI-MOTIF']
93,4550,22,36.3+-10.8,-1.32,0.92,25.499999999999996,47.099999999999994,['ANTI-MOTIF']
94,4556,161,277.0+-48.8,-2.38,1.0,228.2,325.8,['ANTI-MOTIF']
95,4558,5,15.6+-6.0,-1.76,0.985,9.6,21.6,['ANTI-MOTIF']
96,4562,16,40.8+-11.3,-2.2,1.0,29.499999999999996,52.099999999999994,['ANTI-MOTIF']
97,4564,976,1313.7+-78.1,-4.33,1.0,1235.6000000000001,1391.8,['ANTI-MOTIF']
98,4566,21,53.4+-11.0,-2.96,1.0,42.4,64.4,['ANTI-MOTIF']
99,4572,272,435.8+-87.1,-1.88,0.985,348.70000000000005,522.9,['ANTI-MOTIF']
100,4574,10,20.2+-6.7,-1.52,0.95,13.5,26.9,['ANTI-MOTIF']
101,4678,594,279.2+-40.9,7.69,0.0,238.29999999999998,320.09999999999997,['MOTIF']
102,4682,53,56.4+-11.6,-0.3,0.585,44.8,68.0,['NA']
103,4686,22,16.9+-6.0,0.86,0.16,10.899999999999999,22.9,['NA']
104,4692,452,535.5+-73.7,-1.13,0.855,461.8,609.2,['ANTI-MOTIF']
105,4694,751,518.3+-64.1,3.63,0.0,454.19999999999993,582.4,['MOTIF']
106,4698,16,32.8+-9.1,-1.85,0.985,23.699999999999996,41.9,['ANTI-MOTIF']
107,4700,19,37.6+-7.7,-2.43,0.995,29.900000000000002,45.300000000000004,['ANTI-MOTIF']
108,4702,14,41.1+-8.7,-3.11,1.0,32.400000000000006,49.8,['ANTI-MOTIF']
109,4740,6,11.8+-5.4,-1.06,0.89,6.4,17.200000000000003,['ANTI-MOTIF']
110,4742,16,41.5+-10.9,-2.33,0.995,30.6,52.4,['ANTI-MOTIF']
111,4748,37,37.8+-11.6,-0.07,0.53,26.199999999999996,49.4,['NA']
112,4750,24,29.8+-7.2,-0.81,0.8,22.6,37.0,['NA']
113,4758,17,17.5+-6.5,-0.08,0.54,11.0,24.0,['NA']
114,4764,27,35.3+-10.4,-0.79,0.795,24.9,45.699999999999996,['NA']
115,4766,37,29.6+-8.5,0.87,0.175,21.1,38.1,['NA']
116,4812,5,14.2+-5.7,-1.6,0.97,8.5,19.9,['ANTI-MOTIF']
117,4814,23,23.3+-7.5,-0.04,0.545,15.8,30.8,['NA']
118,4830,16,12.9+-5.0,0.62,0.305,7.9,17.9,['NA']
119,4946,1269,1357.0+-104.2,-0.84,0.81,1252.8,1461.2,['NA']
120,4950,795,665.9+-60.1,2.15,0.02,605.8,726.0,['MOTIF']
121,4952,107,52.6+-11.6,4.7,0.0,41.0,64.2,['MOTIF']
122,4954,76,74.1+-11.2,0.17,0.405,62.89999999999999,85.3,['NA']
123,4958,26,46.1+-10.9,-1.85,0.99,35.2,57.0,['ANTI-MOTIF']
124,4994,225,559.3+-92.4,-3.62,1.0,466.9,651.6999999999999,['ANTI-MOTIF']
125,4998,17,33.5+-9.5,-1.73,0.96,24.0,43.0,['ANTI-MOTIF']
126,5002,624,459.8+-61.6,2.66,0.0,398.2,521.4,['MOTIF']
127,5004,29,40.1+-11.8,-0.94,0.82,28.3,51.900000000000006,['NA']
128,5006,33,31.3+-7.9,0.21,0.41,23.4,39.2,['NA']
129,5010,1039,1290.7+-144.4,-1.74,0.965,1146.3,1435.1000000000001,['ANTI-MOTIF']
130,5012,37,83.0+-17.1,-2.69,1.0,65.9,100.1,['ANTI-MOTIF']
131,5014,63,59.6+-12.0,0.28,0.395,47.6,71.6,['NA']
132,5016,1497,1162.6+-96.7,3.46,0.0,1065.8999999999999,1259.3,['MOTIF']
133,5018,848,808.6+-84.4,0.47,0.325,724.2,893.0,['NA']
134,5020,31,54.7+-13.3,-1.77,0.98,41.400000000000006,68.0,['ANTI-MOTIF']
135,5022,47,45.0+-10.3,0.19,0.45,34.7,55.3,['NA']
136,5058,6,33.4+-8.9,-3.09,1.0,24.5,42.3,['ANTI-MOTIF']
137,5062,16,30.7+-8.4,-1.76,0.985,22.299999999999997,39.1,['ANTI-MOTIF']
138,5064,6,15.8+-6.3,-1.57,0.97,9.5,22.1,['ANTI-MOTIF']
139,5066,14,24.9+-6.9,-1.59,0.95,18.0,31.799999999999997,['ANTI-MOTIF']
140,5068,13,33.8+-10.6,-1.97,0.985,23.199999999999996,44.4,['ANTI-MOTIF']
141,5070,26,26.3+-6.9,-0.05,0.52,19.4,33.2,['NA']
142,5074,22,90.5+-15.4,-4.45,1.0,75.1,105.9,['ANTI-MOTIF']
143,5076,60,81.5+-14.0,-1.53,0.935,67.5,95.5,['ANTI-MOTIF']
144,5078,46,80.3+-16.5,-2.08,0.99,63.8,96.8,['ANTI-MOTIF']
145,5080,64,70.3+-12.2,-0.52,0.7,58.099999999999994,82.5,['NA']
146,5082,31,55.2+-12.5,-1.94,0.985,42.7,67.7,['ANTI-MOTIF']
147,5084,40,49.1+-11.0,-0.82,0.795,38.1,60.1,['NA']
148,5086,50,62.5+-12.1,-1.03,0.87,50.4,74.6,['ANTI-MOTIF']
149,6342,10,30.7+-10.9,-1.89,1.0,19.799999999999997,41.6,['ANTI-MOTIF']
150,6348,936,1042.3+-122.9,-0.87,0.8,919.4,1165.2,['NA']
151,6350,45,59.4+-15.6,-0.92,0.81,43.8,75.0,['NA']
152,6356,52,140.4+-34.6,-2.55,1.0,105.80000000000001,175.0,['ANTI-MOTIF']
153,6358,8,21.9+-7.5,-1.86,0.985,14.399999999999999,29.4,['ANTI-MOTIF']
154,6364,922,967.0+-98.0,-0.46,0.705,869.0,1065.0,['NA']
155,6366,90,63.5+-12.6,2.1,0.035,50.9,76.1,['MOTIF']
156,6550,14,24.5+-7.4,-1.41,0.945,17.1,31.9,['ANTI-MOTIF']
157,6552,11215,10059.9+-366.2,3.15,0.0,9693.699999999999,10426.1,['MOTIF']
158,6554,2207,2194.9+-133.5,0.09,0.465,2061.4,2328.4,['NA']
159,6558,39,69.5+-12.9,-2.37,0.995,56.6,82.4,['ANTI-MOTIF']
160,6598,16,25.9+-7.8,-1.27,0.91,18.099999999999998,33.699999999999996,['ANTI-MOTIF']
161,6602,22,72.4+-12.6,-4.0,1.0,59.800000000000004,85.0,['ANTI-MOTIF']
162,6604,955,1043.2+-90.2,-0.98,0.84,953.0,1133.4,['NA']
163,6606,59,57.7+-11.9,0.11,0.435,45.800000000000004,69.60000000000001,['NA']
164,6614,59,41.2+-10.6,1.68,0.05,30.6,51.800000000000004,['MOTIF']
165,6616,1740,1394.1+-98.7,3.5,0.0,1295.3999999999999,1492.8,['MOTIF']
