subgraph id = 14
Nreal : 121
=================================
Full list of 121 members:

29	23	24	28	
39	3	9	35	
47	4	5	9	
47	5	9	35	
48	3	4	5	
48	3	4	9	
48	3	4	16	
48	3	5	9	
48	3	5	35	
48	3	9	35	
48	4	5	9	
48	5	9	35	
6	4	5	60	
22	3	4	60	
23	3	4	60	
26	3	4	60	
29	23	24	35	
29	23	24	57	
29	23	24	63	
29	23	28	57	
29	23	28	63	
29	24	28	57	
29	24	28	63	
38	17	26	54	
38	17	26	63	
39	3	9	43	
39	3	9	45	
39	3	35	57	
40	16	37	63	
40	17	37	63	
40	20	37	50	
40	20	37	63	
43	4	16	63	
45	5	35	57	
46	20	34	50	
47	4	5	49	
47	4	5	55	
47	4	5	57	
47	5	9	56	
47	5	35	55	
47	5	35	56	
47	5	35	57	
47	9	35	56	
48	3	4	55	
48	3	4	57	
48	3	5	55	
48	3	5	57	
48	3	35	55	
48	3	35	57	
48	4	5	49	
48	4	5	55	
48	4	5	57	
48	5	35	55	
48	5	35	57	
54	11	43	60	
6	4	16	60	
6	5	36	37	
6	5	36	60	
21	17	53	54	
26	3	33	60	
26	3	33	64	
29	23	35	57	
29	23	35	63	
29	24	35	57	
29	24	35	63	
38	26	50	54	
38	26	50	63	
39	3	43	57	
40	20	50	54	
40	20	50	60	
40	20	50	63	
40	37	50	63	
42	20	50	54	
42	20	50	60	
43	4	45	63	
43	4	49	63	
44	20	50	54	
44	20	50	60	
44	20	50	63	
46	20	50	54	
47	5	55	56	
47	35	55	56	
6	16	36	37	
6	16	36	60	
6	17	36	37	
6	17	36	60	
7	17	24	36	
7	17	24	54	
7	17	36	37	
7	17	36	54	
7	17	36	60	
7	24	36	44	
7	24	36	50	
7	24	36	54	
7	24	36	59	
7	24	44	59	
7	24	50	54	
7	36	37	44	
7	36	37	50	
7	36	37	59	
7	36	44	59	
7	36	50	54	
7	36	50	60	
7	37	44	59	
8	17	43	60	
10	20	34	49	
10	20	34	50	
12	20	34	50	
13	20	34	50	
14	17	36	37	
14	17	36	53	
14	17	36	54	
14	17	37	53	
14	17	53	54	
14	20	36	37	
14	20	36	54	
14	36	37	53	
14	36	37	57	
14	36	37	59	
14	36	53	54	
14	53	54	61	

subgraph id = 28
Nreal : 166
=================================
Full list of 166 members:

54	7	9	43	
54	14	9	43	
54	21	9	43	
54	37	9	43	
54	38	9	43	
59	38	34	57	
60	38	34	57	
54	40	9	43	
54	42	9	43	
26	38	3	4	
43	52	4	16	
43	54	4	16	
64	21	4	9	
64	38	4	9	
64	40	4	9	
54	44	9	43	
54	44	11	43	
54	44	18	43	
54	46	9	43	
64	46	4	9	
18	60	11	56	
26	38	3	33	
43	52	4	45	
43	54	4	45	
43	52	4	49	
43	54	4	49	
49	56	35	55	
4	56	34	50	
43	52	45	51	
49	1	35	55	
49	1	35	59	
50	1	35	55	
50	1	35	57	
50	1	35	59	
50	1	48	59	
49	2	35	55	
49	2	35	59	
50	2	35	55	
50	2	35	59	
50	2	48	59	
49	3	35	55	
49	3	35	59	
50	3	35	55	
50	3	35	57	
50	3	35	59	
44	7	20	63	
50	7	35	55	
50	7	35	57	
54	7	43	55	
54	7	43	57	
35	8	11	64	
35	8	18	64	
50	8	48	59	
60	8	18	64	
18	10	11	56	
49	10	35	55	
49	10	35	59	
50	10	35	55	
50	10	35	59	
50	10	48	59	
50	13	35	55	
54	14	43	55	
54	14	43	60	
35	15	18	64	
50	15	48	59	
43	20	34	49	
43	20	34	50	
43	20	35	63	
54	21	43	60	
50	30	35	55	
50	30	35	59	
50	30	48	59	
54	37	43	55	
54	37	43	57	
54	37	43	59	
54	38	43	55	
54	38	43	57	
50	39	48	59	
54	40	43	55	
50	41	48	59	
54	42	43	55	
50	43	48	59	
50	44	48	59	
50	45	48	59	
43	8	4	45	
43	8	4	63	
37	14	4	60	
35	15	11	64	
43	20	4	45	
43	20	4	49	
43	20	4	63	
50	38	35	55	
