,MOTIF ID,Frequency,Interval,z score,p - value,lowerLimit,upperLimit,Statistical Significance
71,2524,502,260.4+-42.7,5.65,0.0,217.7,303.09999999999997,['MOTIF']
72,2526,51,20.2+-6.6,4.7,0.0,13.6,26.799999999999997,['MOTIF']
73,3038,10,1.7+-1.7,4.99,0.0,0.0,3.4,['MOTIF']
74,4370,11315,13198.2+-596.4,-3.16,1.0,12601.800000000001,13794.6,['ANTI-MOTIF']
75,4374,300,774.8+-103.6,-4.58,1.0,671.1999999999999,878.4,['ANTI-MOTIF']
76,4382,2,17.2+-6.2,-2.47,1.0,11.0,23.4,['ANTI-MOTIF']
77,4418,212,334.2+-79.9,-1.53,0.935,254.29999999999998,414.1,['ANTI-MOTIF']
78,4420,1988,2549.4+-194.1,-2.89,1.0,2355.3,2743.5,['ANTI-MOTIF']
79,4422,144,214.6+-38.8,-1.82,0.99,175.8,253.39999999999998,['ANTI-MOTIF']
80,4424,535,488.6+-49.4,0.94,0.205,439.20000000000005,538.0,['NA']
81,4426,10,20.8+-7.0,-1.54,0.97,13.8,27.8,['ANTI-MOTIF']
82,4428,195,402.7+-55.7,-3.73,1.0,347.0,458.4,['ANTI-MOTIF']
83,4430,6,16.7+-5.8,-1.85,0.98,10.899999999999999,22.5,['ANTI-MOTIF']
84,4434,889,1320.6+-129.9,-3.32,1.0,1190.6999999999998,1450.5,['ANTI-MOTIF']
85,4436,23133,22053.9+-385.4,2.8,0.0,21668.5,22439.300000000003,['MOTIF']
86,4438,1216,961.3+-87.0,2.93,0.005,874.3,1048.3,['MOTIF']
87,4440,2290,1941.2+-165.2,2.11,0.01,1776.0,2106.4,['MOTIF']
88,4442,35,92.5+-20.4,-2.82,1.0,72.1,112.9,['ANTI-MOTIF']
89,4444,532,1357.3+-165.6,-4.98,1.0,1191.7,1522.8999999999999,['ANTI-MOTIF']
90,4446,15,65.4+-13.7,-3.67,1.0,51.7,79.10000000000001,['ANTI-MOTIF']
91,4546,2,8.8+-4.9,-1.4,0.965,3.9000000000000004,13.700000000000001,['ANTI-MOTIF']
92,4548,217,375.2+-50.6,-3.13,1.0,324.59999999999997,425.8,['ANTI-MOTIF']
93,4550,4,13.3+-5.5,-1.69,0.985,7.800000000000001,18.8,['ANTI-MOTIF']
94,4556,37,132.0+-34.3,-2.77,1.0,97.7,166.3,['ANTI-MOTIF']
95,4558,0,4.6+-3.2,-1.47,1.0,1.3999999999999995,7.8,['ANTI-MOTIF']
96,4562,7,42.6+-11.9,-2.98,1.0,30.700000000000003,54.5,['ANTI-MOTIF']
97,4564,1412,1785.3+-95.9,-3.89,1.0,1689.3999999999999,1881.2,['ANTI-MOTIF']
98,4566,27,69.8+-13.3,-3.21,1.0,56.5,83.1,['ANTI-MOTIF']
99,4572,290,550.1+-112.3,-2.32,0.995,437.8,662.4,['ANTI-MOTIF']
100,4574,14,21.2+-7.9,-0.91,0.86,13.299999999999999,29.1,['NA']
101,4678,292,143.7+-25.7,5.77,0.0,117.99999999999999,169.39999999999998,['MOTIF']
102,4682,37,29.9+-7.7,0.92,0.19,22.2,37.6,['NA']
103,4686,7,9.1+-4.4,-0.49,0.695,4.699999999999999,13.5,['NA']
104,4692,129,253.7+-48.8,-2.56,1.0,204.89999999999998,302.5,['ANTI-MOTIF']
105,4694,222,166.3+-29.6,1.88,0.035,136.70000000000002,195.9,['MOTIF']
106,4698,10,16.8+-5.8,-1.17,0.905,11.0,22.6,['ANTI-MOTIF']
107,4700,16,16.0+-5.4,0.0,0.51,10.6,21.4,['NA']
108,4702,13,14.4+-5.1,-0.28,0.63,9.3,19.5,['NA']
109,4740,13,7.0+-3.9,1.53,0.1,3.1,10.9,['MOTIF']
110,4742,21,17.1+-6.5,0.6,0.28,10.600000000000001,23.6,['NA']
111,4748,11,22.4+-8.1,-1.41,0.955,14.299999999999999,30.5,['ANTI-MOTIF']
112,4750,9,13.4+-4.7,-0.93,0.845,8.7,18.1,['NA']
113,4758,4,5.0+-2.9,-0.36,0.685,2.1,7.9,['NA']
114,4764,13,13.9+-5.5,-0.16,0.575,8.4,19.4,['NA']
115,4766,4,7.7+-3.5,-1.04,0.865,4.2,11.2,['ANTI-MOTIF']
116,4812,1,8.0+-4.6,-1.51,0.995,3.4000000000000004,12.6,['ANTI-MOTIF']
117,4814,2,9.4+-4.8,-1.54,0.96,4.6000000000000005,14.2,['ANTI-MOTIF']
118,4830,4,2.7+-2.0,0.64,0.305,0.7000000000000002,4.7,['NA']
119,4946,697,1042.8+-95.5,-3.62,1.0,947.3,1138.3,['ANTI-MOTIF']
120,4950,636,374.9+-43.3,6.02,0.0,331.59999999999997,418.2,['MOTIF']
121,4952,152,46.7+-12.5,8.42,0.0,34.2,59.2,['MOTIF']
122,4954,36,80.7+-13.9,-3.21,1.0,66.8,94.60000000000001,['ANTI-MOTIF']
123,4958,8,30.1+-7.5,-2.96,1.0,22.6,37.6,['ANTI-MOTIF']
