MOTIF ID,Frequency,Interval,z score,p - value
5080,49,58.4+-13.2,-0.71,0.745
5082,16,39.9+-10.1,-2.37,0.99
5084,6,40.0+-11.7,-2.9,1
5086,21,24.5+-8.5,-0.42,0.64
6342,10,10.6+-5.2,-0.12,0.54
6348,827,960.6+-112.1,-1.19,0.91
6350,52,41.0+-9.4,1.17,0.145
6356,81,71.3+-25.8,0.38,0.345
6358,4,5.6+-3.4,-0.46,0.685
6364,732,895.4+-75.6,-2.16,0.975
6366,47,24.7+-7.9,2.83,0
6550,18,24.9+-8.0,-0.87,0.8
6552,20453,19366.9+-466.2,2.33,0.01
6554,2943,3478.8+-203.9,-2.63,0.995
6558,34,100.3+-18.5,-3.59,1
6598,4,6.2+-3.5,-0.64,0.775
6602,24,43.9+-12.5,-1.59,0.97
6604,401,616.9+-78.3,-2.76,1
6606,8,21.6+-7.3,-1.87,0.99
6614,46,35.9+-8.8,1.15,0.15
6616,2351,2208.1+-105.6,1.35,0.11
6618,76,147.0+-18.6,-3.82,1
6620,2796,2630.1+-132.0,1.26,0.115
6622,127,105.6+-19.8,1.08,0.135
6854,6,3.2+-2.4,1.17,0.155
6858,56,45.8+-11.2,0.91,0.205
6862,36,12.2+-4.8,4.94,0
6870,4,3.7+-2.5,0.14,0.485
6874,32,37.5+-8.2,-0.67,0.76
6876,6,30.5+-10.0,-2.45,1
6878,20,15.2+-5.7,0.84,0.235
7126,14,12.5+-5.3,0.29,0.39
7128,89,43.4+-10.9,4.19,0
7130,43,85.3+-14.6,-2.89,1
7134,83,28.2+-8.1,6.73,0
13142,1780,1457.2+-101.6,3.18,0
13146,111,124.2+-22.3,-0.59,0.745
13148,6,37.8+-11.9,-2.68,1
13150,73,152.0+-16.8,-4.71,1
13260,0,1.4+-1.9,-0.76,1
13262,1,12.4+-6.7,-1.7,1
13278,12,33.0+-9.5,-2.22,1
14678,31,34.6+-10.0,-0.36,0.625
14686,6,7.7+-5.1,-0.34,0.635
14790,0,0.9+-1.2,-0.74,1
14798,14,20.6+-7.5,-0.88,0.825
14810,76,88.3+-15.2,-0.81,0.795
14812,135,127.9+-18.1,0.39,0.355
14814,90,73.2+-12.1,1.38,0.095
15258,2185,1774.3+-89.9,4.57,0
15262,194,215.0+-22.6,-0.93,0.845
15310,11,31.1+-9.5,-2.13,0.99
15326,210,154.6+-12.1,4.56,0
31710,86,56.6+-6.9,4.25,0
