MOTIF ID,Frequency,Interval,z score,p - value
5078,46,80.3+-16.5,-2.08,0.99
5080,64,70.3+-12.2,-0.52,0.7
5082,31,55.2+-12.5,-1.94,0.985
5084,40,49.1+-11.0,-0.82,0.795
5086,50,62.5+-12.1,-1.03,0.87
6342,10,30.7+-10.9,-1.89,1
6348,936,1042.3+-122.9,-0.87,0.8
6350,45,59.4+-15.6,-0.92,0.81
6356,52,140.4+-34.6,-2.55,1
6358,8,21.9+-7.5,-1.86,0.985
6364,922,967.0+-98.0,-0.46,0.705
6366,90,63.5+-12.6,2.1,0.035
6550,14,24.5+-7.4,-1.41,0.945
6552,11215,10059.9+-366.2,3.15,0
6554,2207,2194.9+-133.5,0.09,0.465
6558,39,69.5+-12.9,-2.37,0.995
6598,16,25.9+-7.8,-1.27,0.91
6602,22,72.4+-12.6,-4,1
6604,955,1043.2+-90.2,-0.98,0.84
6606,59,57.7+-11.9,0.11,0.435
6614,59,41.2+-10.6,1.68,0.05
6616,1740,1394.1+-98.7,3.5,0
6618,77,120.0+-15.2,-2.82,1
6620,1796,1763.7+-114.8,0.28,0.385
6622,123,87.8+-17.4,2.02,0.035
6854,5,13.6+-6.1,-1.4,0.975
6858,88,68.9+-13.0,1.46,0.105
6862,46,27.5+-9.5,1.95,0.045
6870,20,22.4+-7.0,-0.34,0.625
6874,75,83.5+-12.9,-0.66,0.76
6876,47,51.0+-10.6,-0.38,0.65
6878,77,56.9+-9.2,2.18,0.03
7126,46,31.9+-8.3,1.71,0.055
7128,73,40.0+-11.6,2.85,0.01
7130,99,112.6+-17.6,-0.77,0.76
7134,98,72.7+-12.0,2.11,0.015
13142,1019,1045.6+-73.8,-0.36,0.63
13146,76,49.7+-12.4,2.12,0.04
13148,26,45.9+-9.6,-2.08,0.995
13150,72,109.0+-13.4,-2.75,1
13260,0,4.0+-2.7,-1.47,1
13262,10,24.2+-7.6,-1.87,0.99
13278,21,33.3+-8.7,-1.42,0.945
14678,22,47.0+-10.4,-2.4,1
14686,10,10.5+-4.4,-0.12,0.585
14790,3,4.3+-2.6,-0.48,0.705
14798,56,36.1+-9.2,2.17,0.02
14810,62,66.1+-13.9,-0.29,0.65
14812,89,73.5+-13.8,1.13,0.145
14814,86,78.2+-12.1,0.64,0.255
15258,877,684.6+-64.6,2.98,0
15262,123,99.1+-13.0,1.84,0.045
15310,35,39.0+-11.9,-0.34,0.61
15326,114,94.7+-10.4,1.86,0.02
31710,27,18.8+-3.9,2.09,0.025
