Interactor A Gene Symbol,Interactor B Gene Symbol,Interactor A Uniprot AC,Interactor B Uniprot AC,Database,,,,
DNMT3B,MTA1,Q9UBC3,Q13330,IID,,,,
DNMT3B,MYL6,Q9UBC3,P60660,IID,,,,
DNMT3B,XRCC6,Q9UBC3,P12956,IID,,,,
DNMT3B,GATA5,Q9UBC3,Q9BWX5,IID,,,,
DNMT3B,SOCS3,Q9UBC3,O14543,IID,,,,
DNMT3B,STAC,Q9UBC3,Q99469,IID,,,,
DNMT3B,CUL3,Q9UBC3,Q13618,IID,,,,
DNMT3B,AGO3,Q9UBC3,Q9H9G7,IID,,,,
DNMT3B,KDM4B,Q9UBC3,O94953,IID,,,,
DNMT3B,ZBTB18,Q9UBC3,Q99592,IID,,,,
DNMT3B,KALRN,Q9UBC3,O60229,IID,,,,
DNMT3B,NME6,Q9UBC3,O75414,IID,,,,
DNMT3B,E2F6,Q9UBC3,O75461,IID,,,,
DNMT3B,CCL2,Q9UBC3,P13500,IID,,,,
DNMT3B,TRIM28,Q9UBC3,Q13263,IID,,,,
DNMT3B,HIF1A,Q9UBC3,Q16665,IID,,,,
DNMT3B,CREB1,Q9UBC3,P16220,IID,,,,
DNMT3B,SORBS3,Q9UBC3,O60504,IID,,,,
DNMT3B,SMARCD1,Q9UBC3,Q96GM5,IID,,,,
DNMT3B,JUN,Q9UBC3,P05412,IID,,,,
DNMT3B,SLC7A11,Q9UBC3,Q9UPY5,IID,,,,
DNMT3B,HELLS,Q9UBC3,Q9NRZ9,IID,,,,
DNMT3B,SETD1A,Q9UBC3,O15047,IID,,,,
DNMT3B,PLEKHA6,Q9UBC3,Q9Y2H5,IID,,,,
DNMT3B,CENPE,Q9UBC3,Q02224,IID,,,,
DNMT3B,FYN,Q9UBC3,P06241,IID,,,,
DNMT3B,NCAPD3,Q9UBC3,P42695,IID,,,,
DNMT3B,SET,Q9UBC3,Q01105,IID,,,,
DNMT3B,NTHL1,Q9UBC3,P78549,IID,,,,
DNMT3B,HDAC3,Q9UBC3,O15379,IID,,,,
DNMT3B,DIRAS3,Q9UBC3,O95661,IID,,,,
DNMT3B,SPI1,Q9UBC3,P17947,IID,,,,
DNMT3B,NCK2,Q9UBC3,O43639,IID,,,,
DNMT3B,RRP8,Q9UBC3,O43159,IID,,,,
DNMT3B,SETD1B,Q9UBC3,Q9UPS6,IID,,,,
DNMT3B,LEO1,Q9UBC3,Q8WVC0,IID,,,,
DNMT3B,TCF3,Q9UBC3,P15923,IID,,,,
DNMT3B,CUL4A,Q9UBC3,Q13619,IID,,,,
DNMT3B,PTN,Q9UBC3,P21246,IID,,,,
DNMT3B,MAP3K10,Q9UBC3,Q02779,IID,,,,
DNMT3B,ETV6,Q9UBC3,P41212,IID,,,,
DNMT3B,EMSY,Q9UBC3,Q7Z589,IID,,,,
DNMT3B,TOP2A,Q9UBC3,P11388,IID,,,,
DNMT3B,CBX8,Q9UBC3,Q9HC52,IID,,,,
DNMT3B,RB1,Q9UBC3,P06400,IID,,,,
DNMT3B,NEB,Q9UBC3,P20929,IID,,,,
DNMT3B,EPHB2,Q9UBC3,P29323,IID,,,,
DNMT3B,SUDS3,Q9UBC3,Q9H7L9,IID,,,,
DNMT3B,BIRC5,Q9UBC3,O15392,IID,,,,
DNMT3B,CENPH,Q9UBC3,Q9H3R5,IID,,,,
DNMT3B,SFRP4,Q9UBC3,Q6FHJ7,IID,,,,
DNMT3B,PAM16,Q9UBC3,Q9Y3D7,IID,,,,
DNMT3B,NCAPG,Q9UBC3,Q9BPX3,IID,,,,
DNMT3B,ATF7IP2,Q9UBC3,Q5U623,IID,,,,
DNMT3B,HDAC2,Q9UBC3,Q92769,IID,,,,
DNMT3B,ZNF331,Q9UBC3,Q9NQX6,IID,,,,
DNMT3B,CBX4,Q9UBC3,O00257,IID,,,,
DNMT3B,RPS10,Q9UBC3,P46783,IID,,,,
DNMT3B,CTNNB1,Q9UBC3,P35222,IID,,,,
DNMT3B,PSIP1,Q9UBC3,O75475,IID,,,,
DNMT3B,PCNA,Q9UBC3,P12004,IID,,,,
DNMT3B,HIST1H3A,Q9UBC3,P68431,IID,,,,
DNMT3B,WARS,Q9UBC3,P23381,IID,,,,
DNMT3B,TARBP2,Q9UBC3,Q15633,IID,,,,
DNMT3B,NCOR2,Q9UBC3,Q9Y618,IID,,,,
DNMT3B,SORBS1,Q9UBC3,Q9BX66,IID,,,,
DNMT3B,SUZ12,Q9UBC3,Q15022,IID,,,,
DNMT3B,WAPL,Q9UBC3,Q7Z5K2,IID,,,,
DNMT3B,FOXP3,Q9UBC3,Q9BZS1,IID,,,,
DNMT3B,TTK,Q9UBC3,P33981,IID,,,,
DNMT3B,PPP1CB,Q9UBC3,P62140,IID,,,,
DNMT3B,SUMO3,Q9UBC3,P55854,IID,,,,
DNMT3B,SAE1,Q9UBC3,Q9UBE0,IID,,,,
DNMT3B,WIZ,Q9UBC3,O95785,IID,,,,
DNMT3B,ELK1,Q9UBC3,P19419,IID,,,,
DNMT3B,CXXC1,Q9UBC3,Q9P0U4,IID,,,,
DNMT3B,MBD1,Q9UBC3,Q9UIS9,IID,,,,
DNMT3B,ZNF512B,Q9UBC3,Q96KM6,IID,,,,
DNMT3B,CBX1,Q9UBC3,P83916,IID,,,,
DNMT3B,BMI1,Q9UBC3,P35226,IID,,,,
DNMT3B,CBX5,Q9UBC3,P45973,IID,,,,
DNMT3B,EHMT1,Q9UBC3,Q9H9B1,IID,,,,
DNMT3B,THBD,Q9UBC3,P07204,IID,,,,
DNMT3B,PRKCH,Q9UBC3,P24723,IID,,,,
DNMT3B,ACLY,Q9UBC3,P53396,IID,,,,
DNMT3B,CMTR2,Q9UBC3,Q8IYT2,IID,,,,
DNMT3B,SP100,Q9UBC3,P23497,IID,,,,
DNMT3B,RP2,Q9UBC3,O75695,IID,,,,
DNMT3B,TDG,Q9UBC3,Q13569,IID,,,,
DNMT3B,HCLS1,Q9UBC3,P14317,IID,,,,
DNMT3B,EPM2AIP1,Q9UBC3,Q7L775,IID,,,,
DNMT3B,TRIM27,Q9UBC3,P14373,IID,,,,
DNMT3B,CHD3,Q9UBC3,Q12873,IID,,,,
DNMT3B,RSF1,Q9UBC3,Q96T23,IID,,,,
DNMT3B,CTCFL,Q9UBC3,Q8NI51,IID,,,,
DNMT3B,GATAD2A,Q9UBC3,Q86YP4,IID,,,,
DNMT3B,TGIF1,Q9UBC3,Q15583,IID,,,,
DNMT3B,TSC22D1,Q9UBC3,Q15714,IID,,,,
DNMT3B,TDRD1,Q9UBC3,Q9BXT4,IID,,,,
DNMT3B,ZFP57,Q9UBC3,Q9NU63,IID,,,,
DNMT3B,SMC3,Q9UBC3,Q9UQE7,IID,,,,
DNMT3B,CENPB,Q9UBC3,P07199,IID,,,,
DNMT3B,EZH2,Q9UBC3,Q15910,IID,,,,
DNMT3B,VAV3,Q9UBC3,Q9UKW4,IID,,,,
DNMT3B,TGS1,Q9UBC3,Q96RS0,IID,,,,
DNMT3B,TGIF2,Q9UBC3,Q9GZN2,IID,,,,
DNMT3B,NKX2-5,Q9UBC3,P52952,IID,,,,
DNMT3B,ABL1,Q9UBC3,P00519,IID,,,,
DNMT3B,PRRC2B,Q9UBC3,Q5JSZ5,IID,,,,
DNMT3B,AGO1,Q9UBC3,Q9UL18,IID,,,,
DNMT3B,CASP6,Q9UBC3,P55212,IID,,,,
DNMT3B,SIRT1,Q9UBC3,Q96EB6,IID,,,,
DNMT3B,MAF,Q9UBC3,O75444,IID,,,,
DNMT3B,TGFB1,Q9UBC3,P01137,IID,,,,
DNMT3B,AGO2,Q9UBC3,Q9UKV8,IID,,,,
DNMT3B,HDAC9,Q9UBC3,Q9UKV0,IID,,,,
DNMT3B,FRMD7,Q9UBC3,Q6ZUT3,IID,,,,
DNMT3B,HIST1H1E,Q9UBC3,P10412,IID,,,,
DNMT3B,RANGAP1,Q9UBC3,P46060,IID,,,,
DNMT3B,SATB1,Q9UBC3,Q01826,IID,,,,
DNMT3B,RLIM,Q9UBC3,Q9NVW2,IID,,,,
DNMT3B,SPTAN1,Q9UBC3,Q13813,IID,,,,
DNMT3B,IGF2BP3,Q9UBC3,O00425,IID,,,,
DNMT3B,CDC7,Q9UBC3,O00311,IID,,,,
DNMT3B,TIMP3,Q9UBC3,P35625,IID,,,,
DNMT3B,MLH1,Q9UBC3,P40692,IID,,,,
FAP,COL3A1,Q12884,P02461,IID,,,,
FAP,ADA,Q12884,P00813,IID,,,,
FAP,CCL18,Q12884,P55774,IID,,,,
FAP,ACOT6,Q12884,Q3I5F7,IID,,,,
FAP,SPOCK1,Q12884,Q08629,IID,,,,
FAP,TAC1,Q12884,P20366,IID,,,,
FAP,NID2,Q12884,Q14112,IID,,,,
FAP,COL10A1,Q12884,Q03692,IID,,,,
FAP,DPP4,Q12884,P27487,IID,,,,
FAP,ADCYAP1,Q12884,P18509,IID,,,,
FAP,SH3KBP1,Q12884,Q96B97,IID,,,,
FAP,RBM3,Q12884,P98179,IID,,,,
FAP,RAB31,Q12884,Q13636,IID,,,,
FAP,COL6A3,Q12884,P12111,IID,,,,
FAP,DPP8,Q12884,Q6V1X1,IID,,,,
FAP,THBS2,Q12884,P35442,IID,,,,
FAP,PDGFRB,Q12884,P09619,IID,,,,
FAP,GIP,Q12884,P09681,IID,,,,
FAP,TMEM109,Q12884,Q9BVC6,IID,,,,
FAP,FSTL1,Q12884,Q12841,IID,,,,
FAP,CORO1C,Q12884,Q9ULV4,IID,,,,
FAP,PHB2,Q12884,Q99623,IID,,,,
FAP,SPARC,Q12884,P09486,IID,,,,
FAP,ERLIN2,Q12884,O94905,IID,,,,
FAP,LUM,Q12884,P51884,IID,,,,
FAP,MSRB1,Q12884,Q9NZV6,IID,,,,
FAP,COL5A1,Q12884,P20908,IID,,,,
FAP,GHRH,Q12884,P01286,IID,,,,
FAP,FAP,Q12884,Q12884,IID,,,,
FAP,COL1A1,Q12884,P02452,IID,,,,
FAP,PLAUR,Q12884,Q03405,IID,,,,
FAP,MXRA8,Q12884,Q9BRK3,IID,,,,
FAP,RBM4,Q12884,Q9BWF3,IID,,,,
FAP,CTSK,Q12884,P43235,IID,,,,
FAP,POSTN,Q12884,Q15063,IID,,,,
FAP,LOX,Q12884,P28300,IID,,,,
FAP,LGALS1,Q12884,P09382,IID,,,,
FAP,CDH11,Q12884,P55287,IID,,,,
FAP,AEBP1,Q12884,Q8IUX7,IID,,,,
FAP,DCN,Q12884,P07585,IID,,,,
FAP,FBN1,Q12884,P35555,IID,,,,
FAP,NPPB,Q12884,P16860,IID,,,,
FAP,ST14,Q12884,Q9Y5Y6,IID,,,,
FAP,COL5A2,Q12884,P05997,IID,,,,
FAP,PPT1,Q12884,P50897,IID,,,,
FAP,HUWE1,Q12884,Q7Z6Z7,IID,,,,
FAP,ASPN,Q12884,Q9BXN1,IID,,,,
FAP,STOM,Q12884,P27105,IID,,,,
FAP,SULF1,Q12884,Q8IWU6,IID,,,,
FAP,SERPINF1,Q12884,P36955,IID,,,,
FAP,DPP9,Q12884,Q86TI2,IID,,,,
FAP,CAV1,Q12884,Q03135,IID,,,,
FAP,VIP,Q12884,P01282,IID,,,,
FAP,VCAN,Q12884,P13611,IID,,,,
FAP,BGN,Q12884,P21810,IID,,,,
FAP,PHB,Q12884,P35232,IID,,,,
FAP,DPP10,Q12884,Q8N608,IID,,,,
FAP,LOXL1,Q12884,Q08397,IID,,,,
FAP,HTRA1,Q12884,Q92743,IID,,,,
FAP,MMP2,Q12884,P08253,IID,,,,
FAP,DPP6,Q12884,P42658,IID,,,,
FAP,COL1A2,Q12884,P08123,IID,,,,
FAP,NPY,Q12884,P01303,IID,,,,
FAP,COL11A1,Q12884,P12107,IID,,,,
FAP,GCG,Q12884,P01275,IID,,,,
FAP,THY1,Q12884,P04216,IID,,,,
FAP,PYY,Q12884,P10082,IID,,,,
FOS,NFATC2IP,P01100,Q8NCF5,IID,,,,
FOS,MAN1A2,P01100,O60476,IID,,,,
FOS,BTRC,P01100,Q9Y297,IID,,,,
FOS,DST,P01100,Q03001,IID,,,,
FOS,MECOM,P01100,Q03112,IID,,,,
FOS,LGALS3,P01100,P17931,IID,,,,
FOS,TH,P01100,P07101,IID,,,,
FOS,TSPYL4,P01100,Q9UJ04,IID,,,,
FOS,SKP1,P01100,P63208,IID,,,,
FOS,PPARD,P01100,Q03181,IID,,,,
FOS,KAT2B,P01100,Q92831,IID,,,,
FOS,CAD,P01100,P27708,IID,,,,
FOS,MAFF,P01100,Q9ULX9,IID,,,,
FOS,TRRAP,P01100,Q9Y4A5,IID,,,,
FOS,NFATC3,P01100,Q12968,IID,,,,
FOS,DUSP1,P01100,P28562,IID,,,,
FOS,MBP,P01100,P02686,IID,,,,
FOS,BAD,P01100,Q92934,IID,,,,
FOS,QRFP,P01100,P83859,IID,,,,
FOS,CSF1R,P01100,P07333,IID,,,,
FOS,E2F5,P01100,Q15329,IID,,,,
FOS,EID1,P01100,Q9Y6B2,IID,,,,
FOS,AHR,P01100,P35869,IID,,,,
FOS,THRA,P01100,P10827,IID,,,,
FOS,NCOA6,P01100,Q14686,IID,,,,
FOS,TAF1,P01100,P21675,IID,,,,
FOS,CACYBP,P01100,Q9HB71,IID,,,,
FOS,KIAA1109,P01100,Q2LD37,IID,,,,
FOS,CEBPA,P01100,P49715,IID,,,,
FOS,NCOA3,P01100,Q9Y6Q9,IID,,,,
FOS,JUND,P01100,P17535,IID,,,,
FOS,ETS1,P01100,P14921,IID,,,,
FOS,NR4A2,P01100,P43354,IID,,,,
FOS,MAP3K1,P01100,Q13233,IID,,,,
FOS,CLU,P01100,P10909,IID,,,,
FOS,HNRNPU,P01100,Q00839,IID,,,,
FOS,EIF4EBP1,P01100,Q13541,IID,,,,
FOS,EGR1,P01100,P18146,IID,,,,
FOS,SPEN,P01100,Q96T58,IID,,,,
FOS,COPS4,P01100,Q9BT78,IID,,,,
FOS,SMARCB1,P01100,Q12824,IID,,,,
FOS,PGR,P01100,P06401,IID,,,,
FOS,NCOR1,P01100,O75376,IID,,,,
FOS,CREB1,P01100,P16220,IID,,,,
FOS,HSPA1A,P01100,P0DMV8,IID,,,,
FOS,AMY2B,P01100,P19961,IID,,,,
FOS,PIN1,P01100,Q13526,IID,,,,
FOS,NSD1,P01100,Q96L73,IID,,,,
FOS,HMGA1,P01100,P17096,IID,,,,
FOS,KAT5,P01100,Q92993,IID,,,,
FOS,KAT6B,P01100,Q8WYB5,IID,,,,
FOS,ETS2,P01100,P15036,IID,,,,
FOS,NFKB2,P01100,Q00653,IID,,,,
FOS,MARK3,P01100,P27448,IID,,,,
FOS,EGR3,P01100,Q06889,IID,,,,
FOS,PRKCZ,P01100,Q05513,IID,,,,
FOS,TNIK,P01100,Q9UKE5,IID,,,,
FOS,SERBP1,P01100,Q8NC51,IID,,,,
FOS,VIM,P01100,P08670,IID,,,,
FOS,STX1A,P01100,Q16623,IID,,,,
FOS,ZFP36,P01100,P26651,IID,,,,
FOS,MAP2K2,P01100,P36507,IID,,,,
FOS,ITGA2,P01100,P17301,IID,,,,
FOS,RELB,P01100,Q01201,IID,,,,
FOS,RXRA,P01100,P19793,IID,,,,
FOS,FOSL1,P01100,P15407,IID,,,,
FOS,ARL6IP4,P01100,Q66PJ3,IID,,,,
FOS,XRCC6,P01100,P12956,IID,,,,
FOS,GNG11,P01100,P61952,IID,,,,
FOS,ERBIN,P01100,Q96RT1,IID,,,,
FOS,TRIB1,P01100,Q96RU8,IID,,,,
FOS,IKBKB,P01100,O14920,IID,,,,
FOS,NBN,P01100,O60934,IID,,,,
FOS,RARG,P01100,P13631,IID,,,,
FOS,MT-ND2,P01100,P03891,IID,,,,
FOS,HNF4A,P01100,P41235,IID,,,,
FOS,NFKBIE,P01100,O00221,IID,,,,
FOS,HDAC1,P01100,Q13547,IID,,,,
FOS,SRC,P01100,P12931,IID,,,,
FOS,MAF,P01100,O75444,IID,,,,
FOS,FOS,P01100,P01100,IID,,,,
FOS,SET,P01100,Q01105,IID,,,,
FOS,RORA,P01100,P35398,IID,,,,
FOS,TPM1,P01100,P09493,IID,,,,
FOS,SKIL,P01100,P12757,IID,,,,
FOS,SMARCC1,P01100,Q92922,IID,,,,
FOS,FAM50A,P01100,Q14320,IID,,,,
FOS,ZNF277,P01100,Q9NRM2,IID,,,,
FOS,ABL1,P01100,P00519,IID,,,,
FOS,COPS3,P01100,Q9UNS2,IID,,,,
FOS,ATP5O,P01100,#N/A,IID,,,,
FOS,ACKR1,P01100,Q16570,IID,,,,
FOS,NMU,P01100,P48645,IID,,,,
FOS,TCF7L2,P01100,Q9NQB0,IID,,,,
FOS,HDAC7,P01100,Q8WUI4,IID,,,,
FOS,NFE2L3,P01100,Q9Y4A8,IID,,,,
FOS,APBA2,P01100,Q99767,IID,,,,
FOS,COPS5,P01100,Q92905,IID,,,,
FOS,MAPK3,P01100,P27361,IID,,,,
FOS,SNCA,P01100,P37840,IID,,,,
FOS,TAF4,P01100,O00268,IID,,,,
FOS,USF2,P01100,Q15853,IID,,,,
FOS,NR2F1,P01100,P10589,IID,,,,
FOS,NFE2L2,P01100,Q16236,IID,,,,
FOS,GATA3,P01100,P23771,IID,,,,
FOS,MYOD1,P01100,P15172,IID,,,,
FOS,TGFBR2,P01100,P37173,IID,,,,
FOS,TWIST1,P01100,Q15672,IID,,,,
FOS,TAF5,P01100,Q15542,IID,,,,
FOS,GLB1,P01100,P16278,IID,,,,
FOS,CCND1,P01100,P24385,IID,,,,
FOS,ADORA2A,P01100,P29274,IID,,,,
FOS,SNAPC2,P01100,Q13487,IID,,,,
FOS,ISG15,P01100,P05161,IID,,,,
FOS,HSD17B4,P01100,P51659,IID,,,,
FOS,TIMP1,P01100,P01033,IID,,,,
FOS,TAF1A,P01100,Q15573,IID,,,,
FOS,SMAD4,P01100,Q13485,IID,,,,
FOS,ASCC3,P01100,Q8N3C0,IID,,,,
FOS,TAF10,P01100,Q12962,IID,,,,
FOS,EPHB2,P01100,P29323,IID,,,,
FOS,GFAP,P01100,P14136,IID,,,,
FOS,HDAC3,P01100,O15379,IID,,,,
FOS,DET1,P01100,Q7L5Y6,IID,,,,
FOS,PTK2,P01100,Q05397,IID,,,,
FOS,LRRC59,P01100,Q96AG4,IID,,,,
FOS,GLO1,P01100,Q04760,IID,,,,
FOS,IRF2,P01100,P14316,IID,,,,
FOS,TRIP6,P01100,Q15654,IID,,,,
FOS,PIK3R1,P01100,P27986,IID,,,,
FOS,RGS7,P01100,P49802,IID,,,,
FOS,TRIB3,P01100,Q96RU7,IID,,,,
FOS,CAV1,P01100,Q03135,IID,,,,
FOS,TP53,P01100,P04637,IID,,,,
FOS,NFAT5,P01100,O94916,IID,,,,
FOS,TRO,P01100,Q12816,IID,,,,
FOS,TUBB,P01100,P07437,IID,,,,
FOS,TCL1A,P01100,P56279,IID,,,,
FOS,THRB,P01100,P10828,IID,,,,
FOS,UBE2I,P01100,P63279,IID,,,,
FOS,TREM1,P01100,Q9NP99,IID,,,,
FOS,ASCC2,P01100,Q9H1I8,IID,,,,
FOS,ACTB,P01100,P60709,IID,,,,
FOS,GAMT,P01100,Q14353,IID,,,,
FOS,CAMSAP2,P01100,Q08AD1,IID,,,,
FOS,MAPK8,P01100,P45983,IID,,,,
FOS,IRF1,P01100,P10914,IID,,,,
FOS,GOLM1,P01100,Q8NBJ4,IID,,,,
FOS,TOP2A,P01100,P11388,IID,,,,
FOS,MAPK9,P01100,P45984,IID,,,,
FOS,PRKACA,P01100,P17612,IID,,,,
FOS,RB1,P01100,P06400,IID,,,,
FOS,NFATC2,P01100,Q13469,IID,,,,
FOS,BTBD10,P01100,Q9BSF8,IID,,,,
FOS,MATR3,P01100,P43243,IID,,,,
FOS,MEF2A,P01100,Q02078,IID,,,,
FOS,ZFYVE9,P01100,O95405,IID,,,,
FOS,PIAS4,P01100,Q8N2W9,IID,,,,
FOS,TNF,P01100,P01375,IID,,,,
FOS,RPS6KA3,P01100,P51812,IID,,,,
FOS,APP,P01100,P05067,IID,,,,
FOS,NCOR2,P01100,Q9Y618,IID,,,,
FOS,CCL7,P01100,P80098,IID,,,,
FOS,CARM1,P01100,Q86X55,IID,,,,
FOS,MED17,P01100,Q9NVC6,IID,,,,
FOS,MAP1B,P01100,P46821,IID,,,,
FOS,CD3G,P01100,P09693,IID,,,,
FOS,GREB1,P01100,Q4ZG55,IID,,,,
FOS,SCHIP1,P01100,P0DPB3,IID,,,,
FOS,SSU72,P01100,Q9NP77,IID,,,,
FOS,MMP7,P01100,P09237,IID,,,,
FOS,EEF1B2,P01100,P24534,IID,,,,
FOS,CIITA,P01100,P33076,IID,,,,
FOS,CDK2,P01100,P24941,IID,,,,
FOS,PPP1R15A,P01100,O75807,IID,,,,
FOS,MYC,P01100,P01106,IID,,,,
FOS,KIF5C,P01100,O60282,IID,,,,
FOS,AHCY,P01100,P23526,IID,,,,
FOS,ASCC1,P01100,Q8N9N2,IID,,,,
FOS,MTERF4,P01100,Q7Z6M4,IID,,,,
FOS,BARX2,P01100,Q9UMQ3,IID,,,,
FOS,RUNX1,P01100,Q01196,IID,,,,
FOS,CREB5,P01100,Q02930,IID,,,,
FOS,IL6ST,P01100,P40189,IID,,,,
FOS,SREBF2,P01100,Q12772,IID,,,,
FOS,HHEX,P01100,Q03014,IID,,,,
FOS,BACH1,P01100,O14867,IID,,,,
FOS,GRHPR,P01100,Q9UBQ7,IID,,,,
FOS,STAT6,P01100,P42226,IID,,,,
FOS,CEBPE,P01100,Q15744,IID,,,,
FOS,ATP5A1,P01100,#N/A,IID,,,,
FOS,ELF2,P01100,Q15723,IID,,,,
FOS,PRKAA2,P01100,P54646,IID,,,,
FOS,BCL9,P01100,O00512,IID,,,,
FOS,ITCH,P01100,Q96J02,IID,,,,
FOS,PPARA,P01100,Q07869,IID,,,,
FOS,RRAD,P01100,P55042,IID,,,,
FOS,DISC1,P01100,Q9NRI5,IID,,,,
FOS,MEN1,P01100,O00255,IID,,,,
FOS,MAPK14,P01100,Q16539,IID,,,,
FOS,TP53BP2,P01100,Q13625,IID,,,,
FOS,RGS19,P01100,P49795,IID,,,,
FOS,IKBKG,P01100,Q9Y6K9,IID,,,,
FOS,MMP1,P01100,P03956,IID,,,,
FOS,TAF9,P01100,Q16594,IID,,,,
FOS,UTP4,P01100,Q969X6,IID,,,,
FOS,ARRB1,P01100,P49407,IID,,,,
FOS,DNMT1,P01100,P26358,IID,,,,
FOS,GSK3A,P01100,P49840,IID,,,,
FOS,RPS11,P01100,P62280,IID,,,,
FOS,PCNA,P01100,P12004,IID,,,,
FOS,PLA2G4A,P01100,P47712,IID,,,,
FOS,DAB2,P01100,P98082,IID,,,,
FOS,MMP9,P01100,P14780,IID,,,,
FOS,GTF2A2,P01100,P52657,IID,,,,
FOS,MAPK10,P01100,P53779,IID,,,,
FOS,UBR1,P01100,Q8IWV7,IID,,,,
FOS,IER3,P01100,P46695,IID,,,,
FOS,PPP1R12A,P01100,O14974,IID,,,,
FOS,OPTN,P01100,Q96CV9,IID,,,,
FOS,YY1,P01100,P25490,IID,,,,
FOS,TFE3,P01100,P19532,IID,,,,
FOS,NEDD9,P01100,Q14511,IID,,,,
FOS,NFE2L1,P01100,Q14494,IID,,,,
FOS,EGR2,P01100,P11161,IID,,,,
FOS,IL2RA,P01100,P01589,IID,,,,
FOS,-,P01100,#N/A,IID,,,,
FOS,CITED1,P01100,Q99966,IID,,,,
FOS,ARRB2,P01100,P32121,IID,,,,
FOS,SNW1,P01100,Q13573,IID,,,,
FOS,ATP5I,P01100,#N/A,IID,,,,
FOS,RUNX2,P01100,Q13950,IID,,,,
FOS,BUD23,P01100,O43709,IID,,,,
FOS,UBR5,P01100,O95071,IID,,,,
FOS,MAPK6,P01100,Q16659,IID,,,,
FOS,BATF3,P01100,Q9NR55,IID,,,,
FOS,CRB3,P01100,Q9BUF7,IID,,,,
FOS,PSEN1,P01100,P49768,IID,,,,
FOS,SMARCA2,P01100,P51531,IID,,,,
FOS,ESR1,P01100,P03372,IID,,,,
FOS,TYK2,P01100,P29597,IID,,,,
FOS,ATF2,P01100,P15336,IID,,,,
FOS,PSMC5,P01100,P62195,IID,,,,
FOS,FOXF2,P01100,Q12947,IID,,,,
FOS,FOXH1,P01100,O75593,IID,,,,
FOS,NUP153,P01100,P49790,IID,,,,
FOS,NFIX,P01100,Q14938,IID,,,,
FOS,PNN,P01100,Q9H307,IID,,,,
FOS,BTG2,P01100,P78543,IID,,,,
FOS,SPI1,P01100,P17947,IID,,,,
FOS,APLP2,P01100,Q06481,IID,,,,
FOS,SRPK1,P01100,Q96SB4,IID,,,,
FOS,IFNAR2,P01100,P48551,IID,,,,
FOS,DDX17,P01100,Q92841,IID,,,,
FOS,HNRNPR,P01100,O43390,IID,,,,
FOS,PF4,P01100,P02776,IID,,,,
FOS,TRAPPC13,P01100,A5PLN9,IID,,,,
FOS,PJA2,P01100,O43164,IID,,,,
FOS,STIM1,P01100,Q13586,IID,,,,
FOS,NOS1,P01100,P29475,IID,,,,
FOS,TSPAN2,P01100,O60636,IID,,,,
FOS,SLC9A3R1,P01100,O14745,IID,,,,
FOS,USF1,P01100,P22415,IID,,,,
FOS,BCL6,P01100,P41182,IID,,,,
FOS,FIP1L1,P01100,Q6UN15,IID,,,,
FOS,A2M,P01100,P01023,IID,,,,
FOS,LEF1,P01100,Q9UJU2,IID,,,,
FOS,TDRD1,P01100,Q9BXT4,IID,,,,
FOS,HDAC4,P01100,P56524,IID,,,,
FOS,CXCL1,P01100,P09341,IID,,,,
FOS,TCF7,P01100,P36402,IID,,,,
FOS,PECAM1,P01100,P16284,IID,,,,
FOS,UBE2D1,P01100,P51668,IID,,,,
FOS,CYLD,P01100,Q9NQC7,IID,,,,
FOS,NR2F6,P01100,P10588,IID,,,,
FOS,HSP90AA1,P01100,P07900,IID,,,,
FOS,CSNK2B,P01100,P67870,IID,,,,
FOS,CREBZF,P01100,Q9NS37,IID,,,,
FOS,PRKDC,P01100,P78527,IID,,,,
FOS,GRIP1,P01100,Q9Y3R0,IID,,,,
FOS,CHUK,P01100,O15111,IID,,,,
FOS,ATRNL1,P01100,Q5VV63,IID,,,,
FOS,CENPO,P01100,Q9BU64,IID,,,,
FOS,HMG20A,P01100,Q9NP66,IID,,,,
FOS,PIAS1,P01100,O75925,IID,,,,
FOS,CABP1,P01100,Q9NZU7,IID,,,,
FOS,ZMYM6,P01100,O95789,IID,,,,
FOS,RUVBL2,P01100,Q9Y230,IID,,,,
FOS,GNL2,P01100,Q13823,IID,,,,
FOS,TLE1,P01100,Q04724,IID,,,,
FOS,FHL2,P01100,Q14192,IID,,,,
FOS,YEATS4,P01100,O95619,IID,,,,
FOS,SMAD1,P01100,Q15797,IID,,,,
FOS,APC,P01100,P25054,IID,,,,
FOS,CYTH4,P01100,Q9UIA0,IID,,,,
FOS,TP73,P01100,O15350,IID,,,,
FOS,PML,P01100,P29590,IID,,,,
FOS,RPS6KA4,P01100,O75676,IID,,,,
FOS,PPP2R2B,P01100,Q00005,IID,,,,
FOS,PPIG,P01100,Q13427,IID,,,,
FOS,SOCS3,P01100,O14543,IID,,,,
FOS,GTF2E2,P01100,P29084,IID,,,,
FOS,PKNOX2,P01100,Q96KN3,IID,,,,
FOS,MAP3K7,P01100,O43318,IID,,,,
FOS,NMI,P01100,Q13287,IID,,,,
FOS,SF3A3,P01100,Q12874,IID,,,,
FOS,PRKCD,P01100,Q05655,IID,,,,
FOS,POLR2A,P01100,P24928,IID,,,,
FOS,SBF2,P01100,Q86WG5,IID,,,,
FOS,TBP,P01100,P20226,IID,,,,
FOS,POLR2E,P01100,P19388,IID,,,,
FOS,PPL,P01100,O60437,IID,,,,
FOS,BAG6,P01100,P46379,IID,,,,
