,x,y,z,xproj,yproj,,,,,label,x,y
P1,-2.822944261,-7.043569201,6.76454908,-1.991220815,-4.968323957,,,,,Poz,-0.001026436,-7.36733535
P10,6.856025985,-4.97523177,-3.518475315,8.758982342,-6.356155493,,,,,Po4,2.993719543,-7.182033788
P2,2.827410709,-7.036433717,6.757615229,1.994973803,-4.964790184,,,,,Po8,5.655362864,-7.383619433
P3,-5.030021524,-6.381427336,5.282910295,-3.792786293,-4.811786593,,,,,O1,-3.053347204,-9.356056944
P4,5.025246653,-6.36809479,5.27338399,3.790867303,-4.803864166,,,,,Oz,0.031466282,-10.04124981
P5,-6.520582761,-5.867503488,2.96690306,-5.51097542,-4.959014967,,,,,O2,3.05708796,-9.346327282
P6,6.51056691,-5.854301345,2.960412138,5.504374926,-4.949533578,,,,,Iz,-0.000783883,-11.81182725
P7,-7.186507238,-5.472744094,0.251679992,-7.076533266,-5.388995565,,,,,,,
P8,7.170925988,-5.462517987,0.248963605,7.062356899,-5.379814497,,,,,,,
P9,-6.866105021,-4.986437456,-3.525594232,-8.776787829,-6.374050999,,,,,,,
PO1,-1.944898659,-9.134737442,3.940065937,-1.564316247,-7.347230213,,,,,,,
PO10,5.312297545,-7.104080804,-3.621150645,6.842196754,-9.149999263,,,,,,,
PO2,1.951183404,-9.127726554,3.937033938,1.569607535,-7.342696921,,,,,,,
PO3,-3.600618118,-8.651014116,3.288297186,-2.992921225,-7.190933033,,,,,,,
PO4,3.600571975,-8.637893166,3.282852087,2.993719543,-7.182033788,,,,,,,
PO5,-4.896867784,-8.183899441,2.058802235,-4.344560073,-7.260854146,,,,,,,
PO6,4.892371066,-8.168504709,2.055849246,4.341272838,-7.248368355,,,,,,,
PO7,-5.777152472,-7.547175973,0.326422997,-5.66300962,-7.398061649,,,,,,,
PO8,5.769159987,-7.532192508,0.32587432,5.655362864,-7.383619433,,,,,,,
PO9,-5.321012912,-7.115663806,-3.62594537,-6.856036469,-9.16841424,,,,,,,
POZ,-0.001294045,-9.288125363,4.222297024,-0.001026436,-7.36733535,,,,,,,
PZ,-0.007977475,-7.195460751,7.319889055,-0.005494181,-4.955598607,,,,,,,
T10,7.827771627,0.941958229,-3.492811065,9.980239807,1.200976403,,,,,,,
T7,-8.053476052,-0.005949587,0.30476113,-7.904722659,-0.005839694,,,,,,,
T8,8.034101786,-0.00717253,0.303535997,7.886291821,-0.007040571,,,,,,,
T9,-7.847835071,0.944837095,-3.494615573,-10.00724193,1.204818056,,,,,,,
TP10,7.945928699,-3.136791976,-3.499950222,10.13658473,-4.00159111,,,,,,,
TP7,-7.877923546,-3.051239488,0.322668578,-7.724029692,-2.99163406,,,,,,,
TP8,7.859290268,-3.046891803,0.320650752,7.706701877,-2.987736294,,,,,,,
TP9,-7.951119794,-3.14871103,-3.502725585,-10.14542497,-4.017674531,,,,,,,
