subgraph id = 6
Nreal : 3
=================================
Full list of 3 members:

57	61	63	
57	61	64	
57	63	64	

subgraph id = 12
Nreal : 99
=================================
Full list of 99 members:

2	57	61	
2	57	63	
2	57	64	
8	57	61	
8	57	63	
8	57	64	
10	57	61	
10	57	63	
10	57	64	
11	57	61	
11	57	63	
11	57	64	
12	57	61	
12	57	63	
12	57	64	
13	57	61	
13	57	63	
13	57	64	
14	57	61	
14	57	63	
14	57	64	
15	57	61	
15	57	63	
15	57	64	
16	57	61	
16	57	63	
16	57	64	
17	57	61	
17	57	63	
17	57	64	
18	57	61	
18	57	63	
18	57	64	
19	57	61	
19	57	63	
19	57	64	
20	57	61	
20	57	63	
20	57	64	
21	57	61	
21	57	63	
21	57	64	
29	57	61	
29	57	63	
29	57	64	
30	57	61	
30	57	63	
30	57	64	
31	57	61	
31	57	63	
31	57	64	
39	57	61	
39	57	63	
39	57	64	
40	57	61	
40	57	63	
40	57	64	
41	57	61	
41	57	63	
41	57	64	
42	57	61	
42	57	63	
42	57	64	
44	57	61	
44	57	63	
44	57	64	
45	57	61	
45	57	63	
45	57	64	
46	57	61	
46	57	63	
46	57	64	
47	57	61	
47	57	63	
47	57	64	
48	57	61	
48	57	63	
48	57	64	
50	57	61	
50	57	63	
50	57	64	
52	57	61	
52	57	63	
52	57	64	
53	57	61	
53	57	63	
53	57	64	
54	57	61	
54	57	63	
54	57	64	
56	57	61	
56	57	63	
56	57	64	
59	57	61	
60	57	61	
59	57	63	
60	57	63	
59	57	64	
60	57	64	

subgraph id = 14
Nreal : 15
=================================
Full list of 15 members:

57	9	61	
57	9	63	
57	9	64	
57	49	61	
57	49	63	
57	49	64	
57	51	61	
57	51	63	
57	51	64	
57	55	61	
57	55	63	
57	55	64	
57	58	61	
57	58	63	
57	58	64	

subgraph id = 36
Nreal : 528
=================================
Full list of 528 members:

2	59	57	
2	60	57	
8	59	57	
8	60	57	
10	59	57	
10	60	57	
11	59	57	
11	60	57	
12	59	57	
12	60	57	
13	59	57	
13	60	57	
14	59	57	
14	60	57	
15	59	57	
15	60	57	
16	59	57	
16	60	57	
17	59	57	
17	60	57	
18	59	57	
18	60	57	
19	59	57	
19	60	57	
20	59	57	
20	60	57	
21	59	57	
21	60	57	
29	59	57	
29	60	57	
30	59	57	
30	60	57	
31	59	57	
31	60	57	
39	59	57	
39	60	57	
40	59	57	
40	60	57	
41	59	57	
41	60	57	
42	59	57	
42	60	57	
44	59	57	
44	60	57	
45	59	57	
45	60	57	
46	59	57	
46	60	57	
47	59	57	
47	60	57	
48	59	57	
48	60	57	
50	59	57	
50	60	57	
52	59	57	
52	60	57	
53	59	57	
53	60	57	
54	59	57	
54	60	57	
56	59	57	
56	60	57	
59	60	57	
2	8	57	
2	10	57	
2	11	57	
2	12	57	
2	13	57	
2	14	57	
2	15	57	
2	16	57	
2	17	57	
2	18	57	
2	19	57	
2	20	57	
2	21	57	
2	29	57	
2	30	57	
2	31	57	
2	39	57	
2	40	57	
2	41	57	
2	42	57	
2	44	57	
2	45	57	
2	46	57	
2	47	57	
2	48	57	
2	50	57	
2	52	57	
2	53	57	
2	54	57	
2	56	57	
8	10	57	
8	11	57	
8	12	57	
8	13	57	
8	14	57	
8	15	57	
8	16	57	
8	17	57	
8	18	57	
8	19	57	
8	20	57	
8	21	57	
8	29	57	
8	30	57	
8	31	57	
8	39	57	
8	40	57	
8	41	57	
8	42	57	
8	44	57	
8	45	57	
8	46	57	
8	47	57	
8	48	57	
8	50	57	
8	52	57	
8	53	57	
8	54	57	
8	56	57	
10	11	57	
10	12	57	
10	13	57	
10	14	57	
10	15	57	
10	16	57	
10	17	57	
10	18	57	
10	19	57	
10	20	57	
10	21	57	
10	29	57	
10	30	57	
10	31	57	
10	39	57	
10	40	57	
10	41	57	
10	42	57	
10	44	57	
10	45	57	
10	46	57	
10	47	57	
10	48	57	
10	50	57	
10	52	57	
10	53	57	
10	54	57	
10	56	57	
11	12	57	
11	13	57	
11	14	57	
11	15	57	
11	16	57	
11	17	57	
11	18	57	
11	19	57	
11	20	57	
11	21	57	
11	29	57	
11	30	57	
11	31	57	
11	39	57	
11	40	57	
11	41	57	
11	42	57	
11	44	57	
11	45	57	
11	46	57	
11	47	57	
11	48	57	
11	50	57	
11	52	57	
11	53	57	
11	54	57	
11	56	57	
12	13	57	
12	14	57	
12	15	57	
12	16	57	
12	17	57	
12	18	57	
12	19	57	
12	20	57	
12	21	57	
12	29	57	
12	30	57	
12	31	57	
12	39	57	
12	40	57	
12	41	57	
12	42	57	
12	44	57	
12	45	57	
12	46	57	
12	47	57	
12	48	57	
12	50	57	
12	52	57	
12	53	57	
12	54	57	
12	56	57	
13	14	57	
13	15	57	
13	16	57	
13	17	57	
13	18	57	
13	19	57	
13	20	57	
13	21	57	
13	29	57	
13	30	57	
13	31	57	
13	39	57	
13	40	57	
13	41	57	
13	42	57	
13	44	57	
13	45	57	
13	46	57	
13	47	57	
13	48	57	
13	50	57	
13	52	57	
13	53	57	
13	54	57	
13	56	57	
14	15	57	
14	16	57	
14	17	57	
14	18	57	
14	19	57	
14	20	57	
14	21	57	
14	29	57	
14	30	57	
14	31	57	
14	39	57	
14	40	57	
14	41	57	
14	42	57	
14	44	57	
14	45	57	
14	46	57	
14	47	57	
14	48	57	
14	50	57	
14	52	57	
14	53	57	
14	54	57	
